,Tidsperiode,Kvalitetsindikator,Måltall,komnr,Verdi,Sektor,Nivå
0,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
1,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
2,2017,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
3,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
4,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
5,2017,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
6,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
7,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
8,2018,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
9,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
10,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
11,2018,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
12,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
13,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
14,2020,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
15,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
16,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
17,2020,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
18,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte i risiko som har individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
19,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Andel av vurderte som har risiko for underernæring (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
20,2021,Oppfølging av risiko for underernæring hos hjemmeboende,"Andel vurdert for risiko for underernæring siste 12 måneder, blant hjemmeboende 67 år og eldre",1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
21,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurdert for risiko for underernæring siste 12 måneder (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
22,2021,Oppfølging av risiko for underernæring hos hjemmeboende,Antall vurderte og i risiko med individuell ernæringsplan (hjemmeboende 67 år og eldre),1826,,Primærhelsetjenesten,Kommune/Helseforetak/Legevakt
