komnr,2015,2016,2017,2018,2019,2020,2021
0301,762.2,793.4,841.8,930.3,979.3,1037.1,1059.1
1101,46.0,49.0,46.0,51.4,52.0,51.9,48.9
1103,210.8,221.2,222.2,235.8,237.8,227.6,211.1
1106,39.9,41.9,44.1,54.2,55.9,54.7,54.7
1108,98.8,100.9,77.5,111.2,114.9,106.3,116.4
1111,6.8,7.5,6.4,6.1,6.7,6.8,9.2
1112,4.3,5.9,5.4,6.4,6.7,5.5,6.2
1114,3.6,0.0,0.0,0.0,5.7,7.9,8.0
1119,24.0,26.7,27.3,27.5,21.9,32.0,32.6
1120,36.6,37.9,38.6,41.2,41.9,40.7,37.7
1121,31.1,31.7,37.4,35.6,40.3,48.1,37.3
1122,16.6,19.9,19.1,18.0,20.6,20.0,24.2
1124,47.3,48.5,48.3,42.6,39.1,49.2,44.4
1127,21.5,22.8,24.1,25.2,27.9,30.1,32.9
1130,18.6,22.1,27.5,29.8,28.4,25.9,22.8
1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134,13.8,12.8,12.6,16.9,15.9,15.7,16.3
1135,12.1,17.9,22.9,16.8,17.8,12.8,13.9
1144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,3.1,2.7,2.7,5.4,4.6,2.1,4.6
1146,17.2,17.5,40.3,37.4,43.6,34.3,32.6
1149,68.9,83.9,86.4,102.1,106.2,96.3,94.4
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,17.5,21.7,19.5,17.2,17.6,18.6,14.7
1505,51.8,58.0,58.6,56.9,52.2,53.5,51.0
1506,72.1,76.7,73.2,76.8,84.4,99.5,92.9
1507,142.7,152.5,152.8,161.9,161.5,172.8,158.3
1511,4.1,4.6,3.3,3.9,6.8,4.4,3.6
1514,13.1,9.6,10.2,12.8,9.1,12.0,10.4
1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,14.5,11.6,14.0,14.4,14.9,16.6,17.0
1517,8.3,8.0,10.3,11.6,8.6,10.2,10.2
1520,21.3,26.9,25.2,29.7,31.9,28.0,27.5
1525,13.5,13.9,15.7,14.9,16.3,14.3,16.2
1528,33.8,34.5,37.2,38.9,42.6,42.8,41.2
1531,30.1,34.5,35.9,40.6,41.5,40.3,40.5
1532,40.9,43.0,43.1,41.6,41.9,40.4,44.0
1535,15.9,13.3,14.8,14.5,16.8,16.6,18.2
1539,21.8,22.2,21.1,28.5,25.2,24.0,22.7
1547,10.7,12.8,13.2,13.3,13.8,11.1,5.7
1554,13.0,13.1,9.6,10.9,7.7,13.2,10.3
1557,9.4,8.4,8.7,7.1,7.0,7.7,9.8
1560,6.6,7.6,8.1,8.8,9.1,9.1,7.6
1563,21.8,25.3,27.2,29.5,26.6,29.9,26.5
1566,17.2,19.3,16.1,20.4,20.0,20.3,19.2
1573,3.9,3.9,3.5,4.1,4.2,3.8,2.7
1576,10.6,15.1,14.4,17.1,15.5,15.3,12.3
1577,25.7,24.5,25.2,29.0,27.9,33.6,27.7
1578,8.2,8.4,6.0,4.9,4.6,4.6,4.5
1579,22.5,21.0,25.2,28.7,30.0,25.2,31.4
1804,72.3,77.0,77.4,88.4,96.6,97.2,81.5
1806,92.0,88.6,89.1,93.7,90.4,93.1,98.4
1811,5.6,4.8,4.6,4.7,5.7,7.2,5.6
1812,3.9,2.4,3.9,3.8,4.1,4.8,5.9
1813,16.9,16.4,21.5,25.2,24.4,25.9,26.8
1815,1.2,1.4,1.8,1.8,1.7,0.0,2.0
1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1818,5.4,5.9,5.6,7.3,5.7,8.0,9.4
1820,13.1,9.1,12.1,14.6,15.0,12.8,11.3
1822,4.0,3.3,4.0,5.1,4.3,6.3,5.4
1824,32.4,32.5,34.5,36.5,33.6,37.7,31.4
1825,4.0,5.0,4.6,5.0,5.0,5.5,6.6
1826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1827,3.0,0.0,0.0,3.1,3.1,5.5,4.6
1828,7.2,5.0,7.6,7.4,5.7,6.0,4.8
1832,12.8,12.5,12.0,8.2,8.8,9.3,8.4
1833,74.3,78.2,87.6,78.2,89.4,91.7,91.5
1834,6.4,8.1,9.4,9.9,9.7,8.9,8.4
1835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1836,0.0,0.0,0.0,0.0,3.0,4.4,4.4
1837,15.1,14.5,15.9,15.0,13.4,15.4,14.8
1838,6.8,6.7,8.0,5.6,8.0,6.3,7.2
1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,13.6,14.2,14.9,15.7,11.7,15.5,17.6
1841,16.3,11.9,16.8,18.0,19.0,18.7,18.3
1845,5.1,5.1,4.6,4.3,4.5,8.4,7.2
1848,6.0,4.6,5.2,7.2,5.2,4.2,1.1
1851,6.2,7.2,7.2,5.9,4.1,6.3,6.3
1853,4.5,5.7,7.4,4.2,2.9,5.6,3.4
1856,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1857,4.0,3.0,2.4,2.4,2.4,3.4,3.0
1859,2.6,2.5,0.0,2.1,2.6,4.0,4.3
1860,23.9,26.2,31.1,31.6,38.5,31.8,27.5
1865,20.2,26.5,23.6,27.4,31.9,28.9,29.1
1866,21.7,19.8,23.8,21.2,23.6,26.6,26.0
1867,6.7,7.7,8.4,6.6,6.7,9.4,6.6
1868,12.7,12.3,14.0,12.9,9.3,12.9,13.3
1870,17.9,20.9,21.5,23.9,23.2,20.3,25.3
1871,16.5,15.2,17.1,16.0,17.2,16.6,19.7
1874,0.0,0.0,0.0,0.0,1.0,1.8,3.0
1875,14.1,13.7,11.6,9.7,8.5,6.5,7.1
3001,49.2,53.0,57.5,61.3,43.0,44.8,40.4
3002,83.7,85.5,92.5,94.0,92.3,88.0,95.3
3003,111.0,112.1,125.6,135.3,136.1,136.4,131.3
3004,184.6,207.6,204.3,204.0,201.9,221.0,220.9
3005,70.4,60.4,60.1,96.5,101.9,184.4,201.8
3006,45.0,52.6,43.6,41.4,42.3,48.3,58.2
3007,33.0,40.8,42.0,45.9,42.8,46.5,43.4
3011,9.6,10.3,12.3,10.5,11.9,12.0,15.3
3012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3013,6.4,6.7,6.5,6.8,7.6,9.5,9.3
3014,67.1,67.7,66.3,67.2,69.3,67.5,65.9
3015,3.8,5.3,7.2,5.9,6.9,6.1,7.1
3016,23.0,23.9,23.4,19.0,22.1,28.9,32.9
3017,18.2,16.8,17.6,18.2,19.5,22.5,22.0
3018,14.7,11.8,10.7,11.0,11.2,13.2,9.0
3019,21.0,23.0,26.0,23.4,26.1,27.4,33.8
3020,90.0,91.3,108.2,95.4,128.3,107.5,111.6
3021,29.3,26.9,32.3,34.6,36.7,32.3,32.0
3022,22.9,29.1,29.1,30.9,31.2,31.8,35.9
3023,25.9,26.0,27.7,30.2,32.8,27.8,31.4
3024,212.3,204.9,208.6,210.7,225.5,225.5,222.2
3025,158.2,156.1,172.1,174.9,190.6,200.4,155.6
3026,27.2,29.0,32.8,35.3,34.0,27.8,29.5
3027,21.9,25.9,21.3,30.2,40.6,36.0,33.2
3028,13.6,13.6,18.0,17.8,17.2,15.6,17.3
3029,34.0,35.4,45.2,45.0,47.3,53.7,56.6
3030,127.1,141.5,159.8,169.3,186.9,192.9,205.2
3031,38.6,36.6,36.3,37.6,41.8,44.0,41.6
3032,13.2,17.9,16.0,21.0,23.5,21.8,17.3
3033,36.0,39.5,43.4,55.9,59.1,57.1,53.4
3034,31.8,32.8,34.2,38.9,34.1,30.1,31.6
3035,33.5,28.8,38.2,36.8,35.7,43.2,47.4
3036,14.4,14.2,17.2,19.7,23.4,25.2,23.6
3037,0.0,0.0,0.0,3.7,0.0,5.0,5.4
3038,9.5,9.5,11.5,12.2,9.4,14.3,11.4
3039,3.7,0.0,0.0,0.0,3.3,4.2,4.2
3040,11.3,8.6,10.1,9.9,12.9,11.2,17.3
3041,9.7,8.0,7.5,9.0,12.7,8.1,7.9
3042,5.6,5.6,4.8,5.2,5.6,5.7,8.2
3043,16.9,11.4,11.8,11.2,11.9,10.1,10.5
3044,6.8,9.2,8.9,10.3,11.5,7.8,6.0
3045,8.4,9.9,9.3,11.0,10.1,8.0,8.3
3046,0.0,3.1,0.0,0.0,4.2,4.4,5.0
3047,39.0,40.8,46.2,38.2,34.5,38.2,37.2
3048,23.0,27.2,25.3,30.7,34.5,36.2,34.8
3049,39.6,41.9,48.2,52.0,55.2,46.8,45.7
3050,5.5,4.3,4.5,4.8,7.5,4.8,6.0
3051,6.2,5.8,4.4,3.7,4.9,5.7,6.4
3052,11.6,8.7,7.5,8.4,13.4,5.4,7.6
3053,7.5,6.5,12.8,14.5,13.8,8.6,6.9
3054,11.8,12.2,17.1,13.7,15.5,14.9,12.3
3401,39.1,31.6,41.9,38.7,37.5,35.3,27.4
3403,85.4,92.1,85.1,86.1,94.0,103.2,90.0
3405,69.1,60.7,60.3,63.7,49.8,51.1,46.3
3407,72.8,76.3,73.2,83.5,87.6,91.8,93.5
3411,74.0,71.3,72.8,78.9,80.6,81.1,82.4
3412,12.2,12.6,12.5,16.1,15.3,14.5,16.3
3413,36.7,37.2,39.9,57.2,66.9,58.7,66.3
3414,8.4,9.3,10.5,10.8,10.7,13.3,10.9
3415,15.6,16.9,19.8,23.8,24.5,20.2,25.9
3416,25.1,23.3,25.2,21.7,31.8,25.8,24.9
3417,22.6,23.9,21.6,22.3,27.4,26.1,18.8
3418,17.4,22.7,22.9,23.9,22.5,19.8,20.0
3419,10.9,10.4,13.2,15.4,12.8,12.7,13.3
3420,61.2,64.6,75.4,79.2,101.3,90.6,88.6
3421,28.8,27.5,27.0,29.7,24.0,27.4,24.9
3422,15.8,17.2,17.9,17.2,15.5,12.4,12.4
3423,2.9,5.9,3.9,4.5,4.9,4.4,4.4
3424,5.9,4.3,5.9,3.3,2.9,2.2,4.1
3425,0.0,0.0,3.5,6.1,6.2,7.6,3.6
3426,4.9,3.8,3.5,3.7,3.3,3.3,3.0
3427,12.7,15.6,13.8,14.1,16.2,13.1,14.6
