Komnr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0002,0.652,0.651,0.647,0.646,0.651,0.646,0.657,0.668,0.673,0.684,0.698
0301,0.734,0.729,0.644,0.643,0.642,0.71,0.723,0.73,0.736,0.748,0.753
1101,0.576,0.612,0.598,0.62,0.639,0.588,0.578,0.575,0.542,0.541,0.579
1103,0.733,0.667,0.666,0.674,0.675,0.655,0.638,0.645,0.631,0.629,0.634
1106,0.582,0.62,0.598,0.599,0.605,0.602,0.602,0.632,0.717,0.716,0.727
1108,0.64,0.646,0.629,0.631,0.632,0.639,0.612,0.633,0.634,0.638,0.658
1111,0.55,0.553,0.647,0.643,0.687,0.657,0.62,0.605,0.582,0.58,0.572
1112,0.538,0.487,0.582,0.584,0.581,0.592,0.567,0.623,0.584,0.601,0.521
1114,,,,,0.666,,,,0.699,0.599,0.603
1119,0.626,0.589,0.62,0.599,0.588,0.593,0.594,0.588,0.569,0.605,0.611
1120,0.621,0.589,0.672,0.668,0.633,0.643,0.661,0.651,0.645,0.629,0.612
1121,0.585,0.662,0.635,0.645,0.619,0.602,0.593,0.596,0.638,0.651,0.635
1122,0.581,0.583,0.592,0.575,0.608,0.652,0.677,0.712,0.711,0.732,0.75
1124,0.672,0.681,0.676,0.696,0.703,0.61,0.653,0.638,0.653,0.666,0.667
1127,0.616,0.612,0.622,0.622,0.713,0.609,0.614,0.644,0.637,0.647,0.647
1130,0.576,0.576,0.558,0.551,0.564,0.542,0.548,0.549,0.557,0.583,0.584
1133,,,0.495,,0.636,0.62,0.637,0.621,0.553,0.615,0.607
1134,0.583,0.623,0.637,0.639,0.598,0.615,0.589,0.605,0.621,0.619,0.666
1135,0.692,0.678,0.709,0.703,0.643,0.672,0.68,0.707,0.754,0.758,0.802
1144,,,,,,,,,,,
1145,,,,,,,,,,0.523,
1146,0.666,0.632,0.632,0.622,0.637,0.64,0.66,0.631,0.641,0.684,0.708
1149,0.645,0.647,0.659,0.666,0.678,0.628,0.684,0.691,0.739,0.748,0.787
1151,,,,,,,,,,,
1160,0.437,0.534,0.573,0.502,0.486,0.564,0.657,0.641,0.63,0.618,0.643
1505,0.706,0.71,0.712,0.716,0.73,0.663,0.763,0.789,0.792,0.801,0.818
1506,0.699,0.687,0.66,0.655,0.69,0.662,0.696,0.707,0.69,0.698,0.706
1507,0.645,0.646,0.648,0.646,0.656,0.648,0.653,0.664,0.658,0.694,0.716
1511,0.592,0.594,0.625,0.649,0.677,0.661,0.711,0.717,0.696,0.73,0.696
1514,0.702,0.705,0.72,0.723,0.683,0.744,0.77,0.789,0.81,0.855,0.864
1515,0.517,0.616,0.651,0.649,0.671,0.639,0.683,0.689,0.671,0.697,0.67
1516,0.535,0.542,0.555,0.544,0.553,0.536,0.562,0.586,0.637,0.686,0.645
1517,0.638,0.658,0.67,0.66,0.681,0.676,0.664,0.688,0.728,0.697,0.715
1520,0.64,0.633,0.639,0.643,0.609,0.627,0.626,0.656,0.655,0.676,0.699
1525,0.684,0.684,0.704,0.698,0.726,0.737,0.758,0.765,0.793,0.791,0.81
1528,0.589,0.58,0.578,0.6,0.616,0.596,0.598,0.595,0.609,0.63,0.659
1531,,,0.661,0.667,0.665,0.665,0.678,0.706,0.676,0.693,0.708
1532,0.616,0.615,0.64,0.625,0.642,0.639,0.611,0.625,0.626,0.67,0.648
1535,0.649,0.673,0.675,0.681,0.698,0.621,0.637,0.637,0.685,0.653,0.703
1539,0.566,0.539,0.557,0.632,0.671,0.682,0.724,0.74,0.748,0.743,0.739
1547,0.578,0.607,0.535,0.613,0.67,0.536,0.638,0.649,0.68,0.674,0.722
1554,0.701,0.678,0.673,0.678,0.682,0.703,0.695,0.713,0.71,0.733,0.747
1557,0.677,0.587,0.589,0.595,0.594,0.573,0.594,0.596,0.622,0.624,0.663
1560,0.621,0.585,0.609,0.664,0.646,0.613,0.673,0.683,0.689,0.696,0.684
1563,0.714,0.711,0.718,0.736,0.723,0.654,0.63,0.732,0.752,0.754,0.751
1566,0.671,0.652,0.683,0.661,0.694,0.588,0.662,0.627,0.706,0.725,0.735
1567,0.719,0.745,0.742,0.691,0.678,0.473,0.642,0.656,0.667,,
1573,0.634,0.671,0.614,0.673,0.596,0.597,0.638,0.665,0.662,0.687,0.671
1576,0.663,0.632,0.636,0.638,0.615,0.659,0.681,0.688,0.674,0.664,0.71
1577,0.543,0.534,0.659,0.625,0.647,0.619,0.651,0.659,0.649,0.646,0.613
1578,0.614,0.636,0.618,0.634,0.615,0.551,0.648,0.601,0.612,0.65,0.638
1579,0.629,0.627,0.655,0.642,0.656,0.604,0.665,0.686,0.702,0.7,0.712
1804,0.649,0.646,0.64,0.644,0.663,0.661,0.695,0.705,0.735,0.739,0.742
1806,0.745,0.762,0.752,0.758,0.766,0.777,0.792,0.788,0.789,0.793,0.811
1811,0.675,0.611,0.636,0.647,0.665,0.645,0.726,0.705,0.724,0.744,0.783
1812,0.706,0.694,0.62,0.657,0.643,0.733,0.726,0.712,0.736,0.699,0.719
1813,0.695,0.695,0.715,0.713,0.677,0.703,0.688,0.695,0.714,0.701,0.722
1815,0.578,0.599,,0.485,,,,,,,
1816,,,,,,,,,,,
1818,0.653,0.723,0.719,0.708,0.761,0.772,0.737,0.705,0.736,0.767,0.804
1820,0.665,0.621,0.611,0.657,0.65,0.7,0.737,0.779,0.8,0.821,0.839
1822,0.717,0.711,0.718,0.682,0.687,0.714,0.716,0.707,0.69,0.663,0.655
1824,0.718,0.719,0.756,0.711,0.742,0.667,0.721,0.751,0.759,0.724,0.732
1825,0.663,0.626,0.612,0.599,0.548,0.579,0.628,0.634,0.589,0.611,0.564
1826,0.686,0.607,0.597,0.642,0.661,0.569,0.583,0.545,0.513,0.654,0.734
1827,0.598,0.606,0.684,0.593,0.575,0.557,0.623,0.636,0.649,0.675,0.692
