komnr,2015,2016,2017,2018,2019,2020,2021
3001,10.88,12.14,12.5,11.8,13.3,13.3,13.3
3002,24.07,24.64,25.9,27.5,25.3,13.5,13.3
3003,9.98,9.85,10.5,10.3,9.8,11.5,10.9
3004,10.09,10.07,9.9,10.2,10.8,11.5,11.5
3005,28.67,28.299999999999997,31.7,29.700000000000003,15.5,9.6,9.5
3006,14.01,14.7,15.1,16.0,18.0,17.3,17.5
3007,10.78,10.91,10.8,10.8,10.2,9.9,10.4
3011,9.98,10.34,10.0,13.1,9.6,11.7,13.5
3012,11.67,12.63,7.9,8.2,7.8,9.1,7.1
3013,7.64,7.31,6.7,6.2,7.2,6.7,6.0
3014,68.00999999999999,60.4,58.2,54.6,54.6,11.0,10.6
3015,8.04,9.21,9.4,8.1,6.8,8.5,7.0
3016,10.64,10.35,10.1,10.1,9.2,8.4,8.5
3017,9.95,10.63,10.4,10.2,9.5,10.3,10.8
3018,14.02,14.65,17.0,14.2,14.2,10.9,10.4
3019,10.18,10.21,9.9,9.4,9.6,8.0,8.0
3020,20.37,20.369999999999997,22.1,20.9,21.9,10.7,12.1
3021,8.8,8.93,9.0,9.1,9.2,8.0,7.9
3022,10.44,9.68,10.5,10.9,12.1,11.0,11.0
3023,9.56,10.4,10.0,9.5,9.2,11.2,11.6
3024,12.74,12.74,10.7,10.9,11.4,10.9,10.6
3025,36.5,37.14,38.5,38.5,34.6,14.0,13.6
3026,11.219999999999999,16.7,15.7,19.8,17.700000000000003,7.8,7.7
3027,10.02,10.31,9.6,9.6,9.9,9.6,10.3
3028,12.55,12.46,12.5,12.1,13.9,13.7,10.7
3029,8.67,10.12,9.1,10.1,9.7,9.5,7.1
3030,31.84,35.0,28.9,34.1,32.0,9.8,11.2
3031,12.18,11.98,12.7,12.4,10.4,10.1,11.9
3032,14.03,11.98,12.6,9.9,9.0,9.5,10.6
3033,10.0,9.17,10.5,11.5,12.4,11.6,9.4
3034,8.22,9.79,10.3,8.5,8.6,7.4,7.7
3035,8.16,8.37,8.4,8.6,8.1,8.9,8.8
3036,7.56,8.59,10.0,10.9,9.7,10.2,14.1
3037,10.67,7.73,7.4,5.6,7.1,7.3,7.2
3038,9.55,9.02,8.8,8.9,8.9,6.3,9.7
3039,5.45,7.13,6.2,5.5,5.9,7.5,7.4
3040,21.3,20.81,21.0,19.3,21.1,22.5,10.8
3041,23.13,22.95,18.6,16.8,13.7,13.8,13.2
3042,6.32,5.25,4.4,6.6,4.7,5.6,5.6
3043,9.88,10.72,12.9,10.9,10.1,12.0,14.6
3044,9.6,10.26,11.1,11.8,11.1,10.6,10.7
3045,7.02,8.01,7.9,8.0,9.7,7.2,7.3
3046,9.39,11.03,10.1,13.3,11.6,12.9,11.7
3047,13.53,13.11,12.4,13.0,13.0,13.0,13.0
3048,11.88,10.95,14.1,13.7,14.7,16.7,16.3
3049,11.89,11.59,12.3,13.0,12.8,14.4,14.1
3050,6.83,8.39,6.5,6.9,6.9,7.0,7.4
3051,5.88,7.76,8.0,8.2,8.3,8.4,9.1
3052,12.85,13.68,12.9,11.7,10.0,10.4,10.2
3053,9.71,10.08,9.9,10.2,11.3,11.5,13.1
3054,11.16,9.42,8.8,8.3,11.1,10.8,14.1
0301,10.23,10.73,10.9,11.2,10.9,10.9,10.9
3401,7.32,8.15,8.1,8.2,8.1,8.0,8.3
3403,10.07,11.06,11.5,11.5,12.2,12.6,13.0
3405,10.59,10.13,9.6,9.2,9.3,10.2,9.8
3407,9.07,9.24,9.7,9.7,9.4,9.7,9.0
3411,13.92,13.27,13.0,10.7,11.2,9.3,8.2
3412,6.54,7.98,7.1,8.0,7.7,8.0,7.8
3413,14.77,15.71,14.7,15.4,8.7,8.8,9.9
3414,9.48,9.91,10.4,8.7,11.1,10.5,10.8
3415,10.17,10.46,11.8,11.7,11.4,12.7,10.4
3416,9.18,9.27,8.9,7.8,9.9,8.1,8.6
3417,9.17,7.94,7.9,7.1,7.9,7.7,6.8
3418,9.92,8.73,9.0,8.0,7.9,7.3,7.3
3419,11.18,10.97,10.8,9.5,10.0,10.0,10.1
3420,11.03,11.55,12.6,11.9,12.1,12.3,12.0
3421,14.4,13.67,15.4,14.9,15.2,14.7,14.4
3422,10.98,11.3,10.5,10.1,12.0,12.1,11.5
3423,4.71,3.57,3.6,4.2,3.7,3.4,4.6
3424,2.94,5.45,5.0,7.4,6.1,7.3,6.6
3425,6.39,4.78,11.9,8.2,5.9,13.7,15.2
3426,3.23,4.54,4.2,4.8,4.6,3.3,3.6
3427,14.38,12.11,9.2,11.2,12.2,12.2,12.2
3428,14.28,14.14,16.0,14.5,13.8,13.0,13.6
3429,6.82,7.68,7.0,5.4,3.5,5.7,4.6
3430,11.93,11.94,14.2,13.5,13.7,18.1,17.2
3431,5.48,5.64,9.1,8.2,4.8,5.8,6.4
3432,14.18,13.59,12.6,12.2,11.0,12.0,11.1
3433,6.29,6.05,7.7,7.1,8.4,8.9,7.6
3434,7.55,8.19,8.1,8.8,8.4,8.6,8.3
3435,8.73,12.43,10.1,10.6,10.5,10.3,9.2
3436,7.19,6.26,7.7,7.8,7.4,8.3,7.8
3437,7.54,8.12,7.4,6.8,8.7,8.6,8.8
3438,5.87,6.39,5.6,6.3,7.6,6.1,6.3
3439,8.96,10.12,8.9,8.2,7.8,7.9,7.7
3440,8.14,9.18,10.9,8.1,9.0,6.8,7.0
3441,9.15,10.35,10.6,6.6,9.2,9.8,10.1
3442,13.35,12.67,11.7,11.8,12.2,13.0,13.6
3443,9.58,9.93,10.3,11.6,11.0,11.2,10.0
3446,12.29,11.42,11.6,11.8,14.5,16.0,16.8
3447,11.34,11.48,11.4,12.3,11.4,11.5,10.7
3448,6.82,7.31,6.5,6.8,7.9,7.9,7.7
3449,9.1,9.33,9.8,10.1,10.0,10.6,9.4
3450,17.52,19.34,10.8,6.9,7.0,6.6,6.8
3451,11.52,13.46,14.9,14.5,13.1,13.2,12.8
3452,8.24,7.8,8.5,7.0,8.1,6.9,5.6
3453,11.08,10.63,8.8,7.7,9.5,9.4,8.9
3454,17.52,15.57,13.1,14.0,13.8,13.6,14.8
3801,9.47,9.79,9.2,9.2,9.2,9.2,9.7
3802,32.6,30.23,29.6,19.5,20.7,17.9,15.2
3803,21.49,21.39,24.0,24.1,27.6,11.4,11.7
3804,35.3,30.799999999999997,8.5,8.5,8.8,9.1,9.1
3805,13.870000000000001,13.84,13.6,9.5,9.5,10.0,10.1
3806,10.5,10.74,10.4,10.1,10.3,10.4,10.1
3807,12.94,13.72,13.3,13.4,13.5,14.6,14.2
3808,10.26,10.38,10.2,10.0,10.2,10.5,11.0
3811,16.43,16.97,18.200000000000003,10.1,9.4,9.2,10.5
3812,3.32,3.81,5.3,4.8,5.6,4.9,4.1
3813,12.98,12.31,12.5,13.1,12.5,12.6,11.4
3814,10.16,9.6,11.3,12.2,11.4,11.0,12.4
3815,8.06,8.31,8.8,8.9,9.8,10.3,10.7
3816,11.43,12.83,11.9,11.3,12.4,10.8,11.1
3817,22.0,19.79,19.700000000000003,20.700000000000003,19.1,11.0,9.9
3818,12.12,14.95,15.8,15.3,14.5,14.3,14.5
3819,4.09,4.61,5.0,4.9,3.4,3.8,3.8
3820,7.31,6.87,7.0,7.8,8.7,8.8,8.4
3821,7.58,7.82,8.1,10.3,10.0,8.7,9.7
3822,16.38,17.37,15.0,14.3,15.0,15.1,14.7
3823,11.49,12.27,14.0,9.9,8.2,6.0,6.1
3824,7.79,7.12,7.1,8.3,8.5,7.6,7.3
3825,11.31,11.78,10.0,9.8,8.0,11.0,9.5
4201,8.37,7.75,8.0,9.4,9.2,9.1,8.4
4202,9.44,10.33,10.7,11.0,10.8,11.3,10.2
4203,7.65,8.33,8.7,8.1,7.6,7.4,8.3
4204,28.34,26.28,26.6,25.7,26.900000000000002,5.6,10.7
4205,33.99,33.66,30.9,31.599999999999998,21.8,11.6,12.2
