komnr,2015,2016,2017,2018,2019,2020,2021
0301,8946.0,8956.0,9057.0,9143.0,9501.0,9533.0,9655.0
1101,430.0,425.0,449.0,420.0,429.0,401.0,401.0
1103,2034.0,2086.0,2185.0,2175.0,2190.0,2109.0,2299.0
1106,715.0,711.0,739.0,729.0,738.0,666.0,773.0
1108,1218.0,1272.0,1270.0,1291.0,1283.0,1236.0,1388.0
1111,83.0,90.0,93.0,90.0,81.0,90.0,100.0
1112,57.0,64.0,72.0,70.0,76.0,66.0,68.0
1114,44.0,43.0,47.0,52.0,53.0,61.0,64.0
1119,219.0,225.0,232.0,233.0,221.0,229.0,265.0
1120,279.0,225.0,290.0,322.0,319.0,327.0,321.0
1121,332.0,326.0,327.0,317.0,340.0,331.0,360.0
1122,180.0,206.0,212.0,215.0,219.0,242.0,248.0
1124,346.0,339.0,363.0,388.0,401.0,384.0,409.0
1127,212.0,193.0,173.0,183.0,191.0,196.0,195.0
1130,262.0,258.0,257.0,278.0,275.0,286.0,289.0
1133,56.0,52.0,59.0,66.0,54.0,41.0,45.0
1134,90.0,88.0,100.0,98.0,94.0,104.0,104.0
1135,174.0,135.0,179.0,189.0,163.0,161.0,156.0
1144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,0.0,0.0,0.0,0.0,13.0,12.0,0.0
1146,167.0,189.0,185.0,184.0,196.0,200.0,202.0
1149,810.0,824.0,829.0,873.0,898.0,905.0,911.0
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,143.0,72.0,152.0,147.0,151.0,149.0,153.0
1505,597.0,591.0,636.0,647.0,645.0,699.0,742.0
1506,592.0,605.0,621.0,556.0,587.0,551.0,652.0
1507,1548.0,1537.0,1574.0,1627.0,1635.0,1735.0,1762.0
1511,140.0,144.0,143.0,158.0,139.0,132.0,116.0
1514,81.0,91.0,90.0,82.0,73.0,77.0,88.0
1515,198.0,207.0,219.0,239.0,250.0,268.0,248.0
1516,190.0,208.0,200.0,207.0,229.0,237.0,232.0
1517,162.0,155.0,159.0,155.0,159.0,169.0,177.0
1520,319.0,324.0,342.0,340.0,355.0,345.0,332.0
1525,109.0,105.0,120.0,120.0,127.0,114.0,115.0
1528,218.0,223.0,212.0,236.0,294.0,307.0,304.0
1531,251.0,246.0,252.0,233.0,226.0,235.0,240.0
1532,194.0,182.0,171.0,169.0,175.0,162.0,169.0
1535,206.0,209.0,227.0,237.0,220.0,235.0,245.0
1539,238.0,249.0,259.0,283.0,263.0,267.0,242.0
1547,64.0,68.0,75.0,77.0,81.0,0.0,88.0
1554,123.0,126.0,116.0,138.0,149.0,164.0,171.0
1557,64.0,66.0,67.0,59.0,59.0,68.0,57.0
1560,95.0,89.0,87.0,73.0,84.0,83.0,81.0
1563,198.0,211.0,222.0,253.0,228.0,243.0,245.0
1566,121.0,122.0,141.0,158.0,156.0,152.0,149.0
1573,58.0,68.0,76.0,71.0,89.0,87.0,82.0
1576,79.0,90.0,107.0,111.0,119.0,120.0,114.0
1577,221.0,241.0,238.0,245.0,241.0,68.0,263.0
1578,60.0,45.0,59.0,54.0,39.0,47.0,46.0
1579,276.0,307.0,292.0,283.0,303.0,310.0,305.0
1804,925.0,982.0,988.0,1018.0,1044.0,1102.0,1116.0
1806,0.0,0.0,0.0,0.0,0.0,708.0,708.0
1811,16.0,44.0,50.0,52.0,50.0,52.0,44.0
1812,57.0,63.0,57.0,49.0,51.0,57.0,65.0
1813,230.0,254.0,274.0,286.0,276.0,276.0,312.0
1815,39.0,36.0,26.0,24.0,28.0,26.0,32.0
1816,0.0,0.0,0.0,12.0,0.0,0.0,12.0
1818,47.0,46.0,44.0,43.0,49.0,48.0,22.0
1820,182.0,179.0,186.0,199.0,191.0,192.0,146.0
1822,94.0,91.0,87.0,96.0,100.0,93.0,44.0
1824,325.0,322.0,335.0,316.0,320.0,301.0,330.0
1825,47.0,39.0,43.0,42.0,42.0,40.0,36.0
1826,61.0,58.0,55.0,56.0,51.0,48.0,49.0
1827,34.0,38.0,35.0,40.0,38.0,40.0,23.0
1828,28.0,30.0,32.0,32.0,32.0,35.0,37.0
1832,150.0,157.0,147.0,160.0,150.0,152.0,159.0
1833,537.0,558.0,533.0,552.0,590.0,566.0,606.0
1834,57.0,67.0,69.0,58.0,70.0,74.0,84.0
1835,0.0,0.0,0.0,0.0,6.0,5.0,0.0
1836,41.0,48.0,20.0,17.0,19.0,19.0,21.0
1837,229.0,197.0,201.0,214.0,239.0,236.0,222.0
1838,71.0,73.0,70.0,71.0,70.0,72.0,76.0
1839,40.0,35.0,40.0,38.0,42.0,34.0,41.0
1840,120.0,148.0,135.0,157.0,154.0,156.0,172.0
1841,266.0,260.0,267.0,268.0,268.0,251.0,225.0
1845,45.0,44.0,47.0,6.0,39.0,41.0,37.0
1848,64.0,82.0,77.0,68.0,75.0,92.0,71.0
1851,54.0,53.0,49.0,33.0,58.0,76.0,77.0
1853,51.0,54.0,58.0,56.0,65.0,53.0,41.0
1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,19.0,23.0,21.0,21.0,11.0,11.0,13.0
1859,30.0,33.0,32.0,33.0,32.0,39.0,34.0
1860,256.0,250.0,264.0,341.0,315.0,324.0,297.0
1865,232.0,225.0,233.0,233.0,250.0,287.0,280.0
1866,208.0,212.0,214.0,224.0,231.0,234.0,235.0
1867,91.0,86.0,92.0,77.0,83.0,78.0,86.0
1868,119.0,123.0,134.0,126.0,131.0,126.0,128.0
1870,374.0,356.0,401.0,390.0,353.0,308.0,297.0
1871,136.0,149.0,157.0,148.0,140.0,135.0,148.0
1874,25.0,25.0,37.0,9.0,10.0,11.0,14.0
1875,0.0,0.0,0.0,0.0,0.0,127.0,122.0
3001,803.0,825.0,850.0,834.0,765.0,688.0,749.0
3002,1152.0,1180.0,1208.0,1255.0,1238.0,1253.0,1316.0
3003,1351.0,1373.0,1425.0,1419.0,1489.0,1512.0,1650.0
3004,2093.0,2160.0,2245.0,2243.0,2148.0,2162.0,2138.0
3005,1885.0,1870.0,1914.0,1945.0,1633.0,1846.0,1949.0
3006,697.0,742.0,707.0,702.0,634.0,623.0,635.0
3007,846.0,862.0,867.0,835.0,797.0,654.0,769.0
3011,102.0,128.0,127.0,125.0,117.0,122.0,124.0
3012,30.0,26.0,5.0,7.0,7.0,32.0,10.0
3013,81.0,95.0,88.0,88.0,85.0,26.0,91.0
3014,978.0,1074.0,1121.0,1171.0,1171.0,1071.0,1270.0
3015,99.0,111.0,109.0,105.0,101.0,89.0,104.0
3016,321.0,325.0,324.0,301.0,308.0,302.0,288.0
3017,156.0,172.0,174.0,175.0,185.0,190.0,186.0
3018,113.0,108.0,105.0,116.0,103.0,120.0,106.0
3019,221.0,223.0,234.0,254.0,306.0,351.0,335.0
3020,941.0,998.0,948.0,960.0,919.0,938.0,913.0
3021,250.0,245.0,253.0,243.0,269.0,254.0,280.0
3022,231.0,255.0,242.0,266.0,272.0,276.0,312.0
3023,230.0,204.0,207.0,187.0,188.0,202.0,219.0
3024,2674.0,2709.0,2764.0,2745.0,2719.0,2704.0,2682.0
3025,1509.0,1551.0,1621.0,1623.0,1566.0,1653.0,1757.0
3026,227.0,242.0,279.0,282.0,278.0,311.0,341.0
3027,229.0,263.0,255.0,270.0,287.0,288.0,277.0
3028,177.0,180.0,174.0,180.0,193.0,194.0,207.0
3029,515.0,503.0,530.0,582.0,606.0,592.0,691.0
3030,1190.0,1262.0,1310.0,1357.0,1370.0,1285.0,1378.0
3031,287.0,272.0,284.0,295.0,307.0,335.0,337.0
3032,101.0,106.0,107.0,99.0,95.0,101.0,102.0
3033,439.0,476.0,523.0,521.0,497.0,512.0,565.0
3034,526.0,530.0,539.0,551.0,537.0,521.0,505.0
3035,516.0,529.0,566.0,582.0,615.0,593.0,592.0
3036,325.0,261.0,272.0,277.0,267.0,294.0,286.0
3037,67.0,65.0,73.0,68.0,75.0,70.0,76.0
3038,118.0,125.0,115.0,115.0,116.0,117.0,150.0
3039,30.0,33.0,34.0,41.0,43.0,41.0,38.0
3040,142.0,147.0,135.0,134.0,162.0,154.0,144.0
3041,135.0,141.0,133.0,129.0,124.0,127.0,126.0
3042,41.0,45.0,44.0,17.0,42.0,38.0,38.0
3043,112.0,116.0,112.0,100.0,114.0,117.0,109.0
3044,125.0,118.0,118.0,119.0,117.0,108.0,90.0
3045,119.0,103.0,93.0,88.0,81.0,91.0,87.0
