komnr,2015,2016,2017,2018,2019,2020,2021
0301,2481.0,2592.0,2670.0,2788.0,2927.0,3024.0,3132.0
1101,167.0,144.0,159.0,152.0,176.0,159.0,150.0
1103,432.0,433.0,430.0,466.0,481.0,449.0,508.0
1106,209.0,208.0,211.0,211.0,212.0,177.0,214.0
1108,347.0,349.0,359.0,371.0,366.0,333.0,392.0
1111,15.0,17.0,13.0,17.0,11.0,14.0,23.0
1112,16.0,21.0,18.0,21.0,22.0,19.0,19.0
1114,10.0,6.0,6.0,7.0,7.0,10.0,15.0
1119,57.0,54.0,50.0,54.0,50.0,50.0,57.0
1120,83.0,67.0,92.0,90.0,98.0,96.0,86.0
1121,102.0,110.0,116.0,101.0,97.0,101.0,109.0
1122,66.0,75.0,77.0,76.0,79.0,78.0,82.0
1124,77.0,75.0,82.0,84.0,76.0,70.0,88.0
1127,72.0,57.0,47.0,64.0,57.0,72.0,64.0
1130,98.0,93.0,99.0,129.0,108.0,127.0,120.0
1133,5.0,8.0,12.0,11.0,9.0,6.0,12.0
1134,21.0,19.0,21.0,20.0,18.0,34.0,26.0
1135,89.0,70.0,91.0,95.0,91.0,79.0,82.0
1144,,,,,,,
1145,,,,,,,
1146,50.0,49.0,59.0,63.0,70.0,80.0,74.0
1149,231.0,244.0,280.0,269.0,286.0,294.0,295.0
1151,0.0,,,,,,
1160,49.0,23.0,53.0,47.0,51.0,50.0,59.0
1505,154.0,163.0,175.0,190.0,182.0,181.0,187.0
1506,184.0,200.0,211.0,159.0,171.0,149.0,186.0
1507,472.0,499.0,517.0,551.0,548.0,562.0,552.0
1511,37.0,35.0,30.0,44.0,50.0,46.0,35.0
1514,32.0,28.0,41.0,39.0,29.0,28.0,28.0
1515,48.0,46.0,52.0,64.0,63.0,58.0,58.0
1516,58.0,55.0,55.0,55.0,61.0,60.0,64.0
1517,49.0,55.0,48.0,50.0,51.0,56.0,58.0
1520,120.0,113.0,119.0,122.0,127.0,121.0,104.0
1525,30.0,35.0,32.0,45.0,48.0,38.0,40.0
1528,124.0,123.0,127.0,113.0,104.0,95.0,89.0
1531,100.0,94.0,95.0,91.0,93.0,96.0,101.0
1532,104.0,102.0,92.0,104.0,103.0,103.0,108.0
1535,88.0,89.0,98.0,99.0,83.0,86.0,88.0
1539,67.0,76.0,70.0,76.0,86.0,89.0,84.0
1547,19.0,20.0,29.0,25.0,20.0,,25.0
1554,36.0,36.0,34.0,43.0,43.0,53.0,59.0
1557,13.0,17.0,20.0,21.0,23.0,24.0,25.0
1560,34.0,31.0,27.0,20.0,25.0,18.0,19.0
1563,61.0,61.0,65.0,70.0,53.0,59.0,61.0
1566,36.0,35.0,42.0,42.0,50.0,46.0,43.0
1573,14.0,10.0,16.0,14.0,16.0,16.0,21.0
1576,23.0,27.0,32.0,40.0,44.0,44.0,42.0
1577,86.0,88.0,88.0,82.0,85.0,21.0,92.0
1578,21.0,10.0,14.0,12.0,10.0,16.0,16.0
1579,103.0,109.0,105.0,112.0,120.0,115.0,111.0
1804,196.0,220.0,232.0,242.0,255.0,272.0,309.0
1806,,,,,,267.0,260.0
1811,16.0,16.0,10.0,13.0,12.0,13.0,13.0
1812,17.0,15.0,14.0,10.0,17.0,19.0,17.0
1813,63.0,69.0,77.0,74.0,86.0,87.0,93.0
1815,,,,,,,
1816,,,,,,,
1818,14.0,13.0,11.0,8.0,6.0,6.0,
1820,46.0,47.0,61.0,66.0,60.0,70.0,56.0
1822,13.0,16.0,18.0,13.0,15.0,12.0,5.0
1824,85.0,79.0,87.0,94.0,108.0,105.0,113.0
1825,6.0,5.0,5.0,6.0,12.0,10.0,12.0
1826,28.0,28.0,26.0,21.0,17.0,21.0,16.0
1827,10.0,14.0,11.0,11.0,10.0,13.0,10.0
1828,5.0,6.0,7.0,7.0,7.0,15.0,15.0
1832,56.0,58.0,56.0,51.0,43.0,43.0,48.0
1833,184.0,193.0,194.0,208.0,210.0,204.0,241.0
1834,19.0,39.0,44.0,32.0,32.0,34.0,41.0
1835,,,,,6.0,5.0,
1836,14.0,20.0,20.0,17.0,19.0,19.0,21.0
1837,75.0,77.0,71.0,77.0,86.0,81.0,74.0
1838,24.0,20.0,19.0,21.0,21.0,23.0,20.0
1839,5.0,8.0,11.0,11.0,14.0,14.0,10.0
1840,55.0,63.0,61.0,64.0,64.0,69.0,70.0
1841,66.0,48.0,49.0,59.0,58.0,58.0,52.0
1845,,5.0,7.0,6.0,7.0,11.0,10.0
1848,12.0,14.0,23.0,24.0,28.0,28.0,25.0
1851,23.0,23.0,23.0,33.0,25.0,33.0,36.0
1853,21.0,21.0,15.0,22.0,20.0,23.0,18.0
1856,,,,,,,
1857,6.0,6.0,7.0,6.0,11.0,11.0,13.0
1859,7.0,7.0,6.0,6.0,8.0,14.0,13.0
1860,98.0,84.0,91.0,122.0,114.0,104.0,86.0
1865,87.0,76.0,80.0,74.0,79.0,97.0,91.0
1866,78.0,78.0,83.0,77.0,79.0,97.0,103.0
1867,24.0,19.0,19.0,19.0,21.0,16.0,20.0
1868,20.0,22.0,25.0,28.0,35.0,30.0,26.0
1870,90.0,85.0,196.0,191.0,125.0,116.0,107.0
1871,49.0,52.0,61.0,66.0,62.0,57.0,68.0
1874,,,10.0,9.0,10.0,11.0,14.0
1875,,,,,,28.0,26.0
3001,244.0,260.0,258.0,248.0,207.0,192.0,219.0
3002,330.0,313.0,332.0,333.0,356.0,366.0,369.0
3003,363.0,374.0,380.0,391.0,406.0,434.0,442.0
3004,583.0,552.0,559.0,579.0,565.0,588.0,563.0
3005,473.0,492.0,534.0,538.0,432.0,572.0,602.0
3006,192.0,224.0,199.0,206.0,207.0,200.0,204.0
