komnr,Befolkning 2020,2012,2013,2014,2015,2016,2017,2018,2019,2020
0301,693494,58232040.0,110317543.0,90667005.0,90636706.0,74975852.0,76871497.0,80886179.0,82967060,94056805.0
1101,14811,0.0,506643.0,1288332.0,275542.0,0.0,1810900.0,0.0,0,0.0
1103,143574,45302823.0,46728314.0,42611249.0,32622111.8,24253729.0,29719190.0,29737151.0,41121404,22982000.0
1106,37357,167605.0,3886054.0,6475147.0,3765207.0,3092022.0,1960503.0,1185832.0,2280526,9991561.0
1108,79537,2912118.0,2562771.0,1058141.0,893278.0,789509.0,992188.0,4182006.0,9879238,4349987.0
1111,3280,40000.0,536000.0,93000.0,0.0,0.0,0.0,0.0,0,0.0
1112,3202,0.0,0.0,35700.0,0.0,0.0,0.0,0.0,0,0.0
1114,2787,0.0,302645.0,305608.0,510999.0,0.0,0.0,0.0,0,0.0
1119,18991,1036338.0,1204149.0,535992.0,433038.0,273405.0,49922.0,0.0,853214,394166.0
1120,19588,1493802.0,1543536.0,0.0,0.0,0.0,0.0,0.0,0,793946.0
1121,18916,1444000.0,869000.0,227000.0,0.0,0.0,110000.0,0.0,0,0.0
1122,12002,503836.0,1167081.0,151752.0,385952.0,265060.0,3130115.0,230262.0,0,0.0
1124,27153,3632596.0,6693715.0,3309841.0,2345893.0,553004.0,399699.0,1090483.0,775000,5172424.0
1127,11221,537115.94,2991513.37,4405685.69,193405.94,2250000.0,1400000.0,4800000.0,3717000,12408219.0
1130,12968,118664.5,1313648.12,1396125.19,1406851.3599999996,642647.0,1943295.0,736555.0,355500,0.0
1133,2574,0.0,0.0,0.0,0.0,0.0,0.0,887000.0,1721168,4351571.0
1134,3804,326000.0,101000.0,520000.0,425000.0,160053.0,,1485114.0,335144,900000.0
1135,4595,,,612736.0,546104.2,2715515.0,777762.0,333339.0,238268,0.0
1144,517,518402.0,67544.0,318032.0,195819.0,161152.0,387977.0,147113.0,140448,615577.66
1145,852,446148.0,1172548.0,1295030.0,1209913.0,0.0,0.0,0.0,0,0.0
1146,11065,2986002.0,1784141.0,69551.0,0.0,297240.0,0.0,0.0,0,0.0
1149,42186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1151,198,168608.83,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1160,8714,2097023.55,2117785.54,246384.71,4821502.63,575858.0,5426829.0,21868579.0,4615051,5846520.0
1505,24179,10741416.24,12818085.5,14942564.33,18678453.02,12450880.0,15847248.0,10486531.0,10688000,8791450.0
1506,31967,703423.0,2723023.0,8466989.0,4384949.0,1135017.0,184753.0,676694.0,6452523,593198.0
1507,66258,5623380.0,5388916.0,7291136.0,8106960.0,28810504.0,35390817.0,37222080.0,45678642,45015109.0
1511,3117,0.0,0.0,0.0,119000.0,0.0,0.0,0.0,0,0.0
1514,2461,0.0,0.0,0.0,0.0,56148.0,7005.0,0.0,0,0.0
1515,8900,0.0,0.0,198300.0,105400.0,1282481.0,2190239.0,2130289.0,4754196,6360000.0
1516,8571,0.0,563693.0,624737.0,784557.0,0.0,0.0,0.0,0,0.0
1517,5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1520,10825,3932652.8,8155849.73,7660115.33,9251551.67,9514672.0,11114448.0,12102381.0,10869692,5019204.0
1525,4523,150000.0,0.0,0.0,0.0,0.0,412819.0,842655.0,0,0.0
1528,7625,4446242.0,3978992.0,1499932.0,2960271.0,2869177.0,2034432.0,3239657.0,6468819,2837504.0
1531,9310,2644713.0,3522473.0,2237067.0,7242574.0,8572585.0,9975295.0,10791590.0,10791590,7649062.0
1532,8462,2376085.0,1678725.0,231189.0,255463.0,138942.0,1592274.0,78579.0,150983,298168.0
1535,6532,2700000.0,2800000.0,3000000.0,0.0,1600000.0,2700000.0,1482408.0,1957682,5006778.0
1539,7468,164374.0,1622709.0,594880.0,918715.0,1061000.0,3693000.0,9866481.0,5910838,1953517.54
1547,3509,843927.37,685846.89,87715.55,332628.71,108243.0,3273255.0,0.0,0,0.0
1554,5788,0.0,0.0,523000.0,0.0,42325.0,342652.0,0.0,52600,107287.0
1557,2629,630479.0,1943933.0,1374243.0,618576.0,0.0,0.0,0.0,0,0.0
1560,3025,1275716.0,938399.0,2973456.0,4613764.0,2619637.0,4918230.0,5095000.0,1465452,3337616.66
1563,7036,,,3708000.0,1625000.0,248082.0,1283536.0,838313.0,0,0.0
1566,5920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1573,2150,1500000.0,2200000.0,4400000.0,3400000.0,2787000.0,3368000.0,2990479.0,2148008,2990000.0
1576,3507,2516052.0,1690737.0,527293.0,604663.0,0.0,0.0,0.0,979372,4577724.0
1577,10473,2889389.0,2064742.0,1620058.0,1797018.0,0.0,659811.0,916133.0,767577,0.0
1578,2549,347292.0,704648.0,548037.0,1273318.0,2158421.0,621885.0,666702.0,1168360,1009167.0
1579,13279,0.0,0.0,0.0,91358.0,0.0,0.0,171491.0,0,0.0
1804,52357,851644.0,1095744.0,3023919.0,7022597.0,8342200.0,12980700.0,20719260.0,32399017,18517500.0
1806,21845,4434338.37,3754798.34,2706592.0200000005,3090126.2,5671435.0,14434646.0,23549130.0,23562141,19103881.0
1811,1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1812,1975,,,,,0.0,0.0,0.0,0,0.0
1813,7917,2777000.0,4865000.0,2851000.0,1601000.0,153495.0,1311484.0,714091.0,0,444380.0
1815,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,575560.0
1816,462,0.0,296633.0,0.0,0.0,0.0,360000.0,1160000.0,2081375,2313876.0
1818,1777,251650.0,318911.0,1345813.0,1668469.0,1150617.0,2172724.0,1417577.0,1896148,2285334.0
1820,7447,0.0,0.0,0.0,0.0,2106302.0,1016906.0,2476062.0,87066,2285334.0
