komnr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0301,3389.1,3386.6,3022.7,3426.8,3620.0,4157.2,4136.0,4041.3,3832.1,4043.8,4143.7,4151.8
1101,255.6,266.8,271.5,281.4,276.6,291.5,280.0,264.7,259.2,262.4,282.7,294.9
1103,1091.2,1288.1,1309.4,1370.2,1319.8,1287.6,1386.4,1395.9,1444.4,1446.4,1492.9,1505.7
1106,285.1,316.0,328.7,354.1,341.6,339.5,340.9,379.9,394.3,385.8,407.3,406.6
1108,610.9,620.4,621.9,633.7,594.2,599.1,642.5,677.2,686.8,676.5,749.0,752.4
1111,31.4,32.6,35.6,37.3,42.6,46.0,42.8,44.8,45.4,56.8,56.1,55.3
1112,29.6,22.4,23.9,23.9,25.0,26.6,24.9,24.3,25.1,24.6,22.9,28.0
1114,,,,,10.6,,,,10.5,17.4,25.9,27.0
1119,160.8,165.6,169.2,164.7,172.9,148.4,163.3,186.4,191.7,200.2,195.5,202.5
1120,158.5,150.1,174.0,171.6,174.7,181.4,198.4,196.0,203.2,190.7,204.4,205.2
1121,122.2,131.8,138.3,150.3,159.0,154.7,154.2,168.1,195.7,189.4,210.3,224.8
1122,82.4,89.8,94.1,94.8,96.7,97.8,112.3,126.0,133.0,148.5,165.8,166.3
1124,156.0,156.7,175.8,193.5,202.5,212.1,216.8,196.6,195.3,211.0,234.2,229.5
1127,154.6,155.5,147.3,132.5,32.8,149.8,132.7,137.9,141.5,151.5,150.7,160.3
1130,146.3,128.5,144.4,143.8,166.3,163.1,159.9,153.7,155.5,158.5,166.4,163.0
1133,,,10.4,,20.4,19.2,21.7,16.8,19.4,20.9,18.8,18.9
1134,75.2,79.1,76.4,72.2,82.5,83.1,75.9,76.9,78.2,78.6,77.9,75.6
1135,125.9,114.6,119.0,118.0,132.5,131.8,138.0,143.6,128.3,127.4,136.4,139.5
1144,,,,,,,,,,,,
1145,,,,,,,,,,12.0,,
1146,117.1,121.4,130.1,138.6,158.0,140.7,142.5,123.7,138.4,151.8,146.6,152.8
1149,429.4,414.9,416.5,449.7,494.6,483.8,504.9,502.1,578.4,606.5,667.8,649.9
1151,,,,,,,,,,,,
1160,70.0,83.8,93.3,71.3,78.3,97.0,110.4,108.3,105.1,90.9,104.1,101.5
1505,254.3,263.3,273.5,278.6,367.9,404.4,395.8,440.0,453.7,445.1,454.8,473.0
1506,331.2,353.1,314.0,369.2,395.2,397.4,443.6,450.5,450.6,467.5,476.4,486.8
1507,675.5,687.3,720.1,716.3,750.9,780.4,803.8,834.7,826.7,1000.5,1055.1,1108.2
1511,49.7,53.4,60.0,59.1,57.5,56.2,59.0,57.4,56.3,64.9,64.7,70.2
1514,49.2,51.5,53.3,57.8,74.4,75.9,53.9,52.1,56.7,57.3,58.8,65.8
1515,74.5,80.7,76.9,76.0,65.8,74.7,73.8,79.3,77.9,73.9,81.0,93.5
