,komnr,2016,2017,2018,2019,2020,2021
0,3823,,,,,,15.0
1,5412,,,,,84.0,51.0
2,3825,117.0,,150.0,168.0,232.0,389.0
3,425,,,,220.0,153.0,216.0
4,4201,,,,,8.0,485.0
5,4602,,,,,1005.0,1137.0
6,5007,,,,,1183.0,1313.0
7,4629,0.0,0.0,0.0,0.0,1.0,0.0
8,5044,,,,2.0,2.0,10.0
9,4636,10.0,0.0,6.0,2.0,0.0,3.0
10,4457,0.0,0.0,0.0,0.0,0.0,0.0
11,5437,,,,,12.0,3.0
12,1145,11.0,8.0,20.0,26.0,20.0,18.0
13,3046,,,,,30.0,20.0
14,3052,19.0,41.0,35.0,72.0,27.0,21.0
15,4651,,,,,502.0,289.0
16,4204,,,,,1737.0,2326.0
17,3415,6.0,2.0,6.0,46.0,69.0,83.0
18,4616,72.0,144.0,206.0,307.0,343.0,458.0
19,3041,,,,,215.0,188.0
20,3439,,,142.0,252.0,166.0,128.0
21,3412,223.0,298.0,389.0,452.0,399.0,294.0
22,5435,,,,119.0,187.0,272.0
23,4621,,,,,1408.0,620.0
24,3022,,,818.0,1121.0,794.0,647.0
25,5433,14.0,26.0,31.0,68.0,94.0,63.0
26,5034,,,,,13.0,27.0
27,1528,128.0,105.0,158.0,154.0,164.0,240.0
28,5423,83.0,148.0,106.0,138.0,132.0,143.0
29,3027,281.0,162.0,286.0,206.0,338.0,391.0
30,301,,,,213.0,569.0,326.0
31,1563,147.0,166.0,280.0,313.0,443.0,245.0
32,3801,381.0,213.0,325.0,373.0,344.0,285.0
33,5402,1749.0,1911.0,2116.0,2053.0,1840.0,1657.0
34,1160,,,,26.0,72.0,120.0
35,1108,,,,,2716.0,2819.0
36,3454,0.0,2.0,11.0,17.0,37.0,24.0
37,216,237.0,220.0,235.0,172.0,195.0,196.0
38,3440,296.0,204.0,260.0,368.0,421.0,402.0
39,4218,9.0,15.0,22.0,38.0,23.0,21.0
40,4634,32.0,23.0,24.0,12.0,29.0,23.0
41,3430,62.0,56.0,59.0,36.0,32.0,35.0
42,3015,,,,,37.0,38.0
43,5035,,,43.0,501.0,932.0,231.0
44,3024,,,,4017.0,4053.0,3148.0
45,3416,234.0,209.0,222.0,275.0,120.0,276.0
46,5028,289.0,199.0,278.0,605.0,592.0,573.0
47,5001,,,,,5161.0,4990.0
48,1578,,,,,,34.0
49,3820,,,,,26.0,27.0
50,4216,,17.0,307.0,692.0,445.0,459.0
51,301,,,,274.0,395.0,389.0
52,3815,349.0,263.0,401.0,346.0,409.0,299.0
53,1106,,,,1387.0,989.0,701.0
54,4219,129.0,184.0,252.0,328.0,360.0,737.0
55,3013,,,,,25.0,55.0
56,3422,,,,,23.0,46.0
57,3030,,,,,1613.0,2510.0
58,1870,177.0,188.0,364.0,510.0,437.0,280.0
59,3424,,,,35.0,36.0,24.0
