Komnr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0002,0.265,0.263,0.261,0.268,0.271,0.273,0.286,0.298,0.309,0.333,0.35
0301,0.486,0.481,0.38,0.372,0.38,0.427,0.449,0.447,0.457,0.486,0.49
1101,0.2,0.22,0.198,0.225,0.226,0.228,0.209,0.213,0.205,0.229,0.234
1103,0.417,0.353,0.362,0.38,0.374,0.363,0.345,0.35,0.36,0.379,0.378
1106,0.208,0.239,0.233,0.257,0.258,0.271,0.256,0.271,0.362,0.369,0.384
1108,0.246,0.265,0.271,0.273,0.284,0.291,0.287,0.307,0.32,0.332,0.358
1111,0.193,0.169,0.236,0.241,0.323,0.329,0.246,0.27,0.231,0.245,0.286
1112,0.145,0.196,0.268,0.293,0.279,0.289,0.227,0.256,0.209,0.22,0.205
1114,,,,,0.375,,,,0.333,0.207,0.163
1119,0.288,0.27,0.315,0.265,0.289,0.288,0.284,0.259,0.264,0.287,0.319
1120,0.251,0.255,0.332,0.342,0.308,0.301,0.35,0.322,0.33,0.333,0.314
1121,0.187,0.271,0.229,0.253,0.214,0.206,0.231,0.227,0.28,0.34,0.317
1122,0.19,0.208,0.233,0.206,0.226,0.273,0.349,0.345,0.422,0.438,0.475
1124,0.319,0.339,0.335,0.349,0.375,0.333,0.334,0.318,0.334,0.391,0.407
1127,0.207,0.217,0.224,0.249,0.217,0.264,0.259,0.285,0.297,0.346,0.339
1130,0.15,0.135,0.151,0.138,0.132,0.14,0.123,0.139,0.147,0.191,0.189
1133,,,0.19,,0.344,0.258,0.265,0.296,0.257,0.265,0.387
1134,0.109,0.118,0.167,0.159,0.167,0.2,0.178,0.197,0.214,0.236,0.256
1135,0.176,0.166,0.208,0.238,0.18,0.184,0.222,0.241,0.335,0.387,0.435
1144,,,,,,,,,,,
1145,,,,,,,,,,0.304,
1146,0.29,0.286,0.248,0.278,0.25,0.232,0.259,0.24,0.231,0.338,0.367
1149,0.146,0.136,0.165,0.157,0.158,0.158,0.168,0.171,0.221,0.242,0.304
1151,,,,,,,,,,,
1160,0.119,0.127,0.153,0.134,0.13,0.169,0.244,0.243,0.287,0.265,0.315
1505,0.292,0.296,0.305,0.319,0.292,0.277,0.326,0.369,0.365,0.376,0.426
1506,0.31,0.292,0.3,0.285,0.349,0.332,0.363,0.369,0.364,0.375,0.37
1507,0.236,0.241,0.255,0.253,0.265,0.249,0.256,0.272,0.272,0.323,0.361
1511,0.167,0.178,0.167,0.231,0.235,0.224,0.325,0.338,0.358,0.348,0.366
1514,0.243,0.219,0.216,0.25,0.239,0.324,0.271,0.318,0.4,0.552,0.603
1515,0.125,0.183,0.186,0.188,0.194,0.179,0.204,0.226,0.19,0.226,0.223
1516,0.118,0.121,0.175,0.18,0.168,0.202,0.199,0.276,0.307,0.371,0.404
1517,0.194,0.186,0.185,0.176,0.237,0.208,0.202,0.242,0.219,0.256,0.247
1520,0.183,0.233,0.205,0.257,0.233,0.222,0.251,0.276,0.29,0.319,0.313
1525,0.225,0.284,0.295,0.293,0.333,0.363,0.424,0.416,0.446,0.442,0.461
1528,0.19,0.171,0.192,0.208,0.245,0.243,0.227,0.237,0.207,0.219,0.274
1531,,,0.183,0.171,0.175,0.18,0.18,0.17,0.156,0.183,0.195
1532,0.157,0.177,0.175,0.133,0.167,0.179,0.162,0.199,0.198,0.228,0.24
1535,0.217,0.256,0.277,0.269,0.274,0.247,0.238,0.241,0.3,0.286,0.391
1539,0.216,0.213,0.198,0.269,0.305,0.32,0.393,0.401,0.374,0.384,0.395
1547,0.083,0.253,0.161,0.224,0.405,0.25,0.361,0.371,0.432,0.438,0.484
1554,0.203,0.197,0.181,0.179,0.189,0.22,0.191,0.193,0.182,0.266,0.239
1557,0.258,0.257,0.219,0.232,0.261,0.267,0.278,0.288,0.343,0.286,0.389
1560,0.123,0.182,0.14,0.163,0.161,0.07,0.19,0.211,0.186,0.264,0.278
1563,0.252,0.274,0.292,0.29,0.254,0.245,0.178,0.24,0.322,0.31,0.358
1566,0.266,0.246,0.25,0.262,0.291,0.144,0.256,0.243,0.287,0.362,0.343
1567,0.171,0.261,0.255,0.28,0.311,0.149,0.226,0.254,0.281,,
1573,0.283,0.217,0.196,0.277,0.231,0.24,0.12,0.208,0.292,0.314,0.182
1576,0.239,0.233,0.202,0.207,0.175,0.187,0.212,0.217,0.232,0.222,0.237
1577,0.186,0.195,0.237,0.237,0.272,0.211,0.222,0.227,0.234,0.227,0.218
1578,0.286,0.28,0.26,0.25,0.235,0.167,0.224,0.219,0.202,0.241,0.256
1579,0.241,0.252,0.254,0.256,0.259,0.246,0.301,0.309,0.31,0.33,0.33
1804,0.277,0.274,0.281,0.288,0.304,0.296,0.338,0.365,0.407,0.411,0.424
1806,0.32,0.345,0.372,0.35,0.368,0.379,0.404,0.402,0.404,0.436,0.425
1811,0.298,0.25,0.276,0.308,0.34,0.345,0.378,0.32,0.373,0.392,0.479
1812,0.333,0.296,0.267,0.273,0.257,0.357,0.276,0.371,0.4,0.415,0.425
1813,0.214,0.23,0.248,0.228,0.257,0.226,0.234,0.251,0.268,0.33,0.338
1815,0.172,0.324,,0.087,,,,,,,
1816,,,,,,,,,,,
1818,0.143,0.2,0.15,0.19,0.209,0.282,0.241,0.25,0.224,0.245,0.298
1820,0.226,0.226,0.193,0.209,0.232,0.25,0.289,0.407,0.566,0.628,0.645
1822,0.25,0.195,0.256,0.222,0.237,0.25,0.226,0.2,0.268,0.326,0.292
1824,0.266,0.299,0.349,0.335,0.241,0.275,0.325,0.242,0.246,0.342,0.361
1825,0.355,0.424,0.433,0.371,0.273,0.394,0.325,0.35,0.293,0.275,0.233
1826,0.255,0.173,0.25,0.245,0.216,0.22,0.222,0.214,0.244,0.375,0.313
1827,0.303,0.222,0.385,0.219,0.308,0.278,0.41,0.441,0.344,0.364,0.389
1828,0.372,0.442,0.478,0.267,0.288,0.238,0.236,0.247,0.259,0.36,0.434
1832,0.195,0.218,0.206,0.275,0.231,0.268,0.26,0.246,0.252,0.266,0.279
1833,0.327,0.309,0.326,0.343,0.336,0.279,0.3,0.357,0.349,0.38,0.395
1834,,0.173,0.138,0.133,0.148,0.193,0.153,0.23,0.208,0.254,0.238
1835,,,,,,,,,,,
1836,0.25,0.227,0.238,0.15,,,0.2,0.214,0.174,0.2,0.333
1837,0.307,0.35,,,0.386,0.383,0.359,0.387,0.393,0.424,0.483
1838,0.261,0.209,0.25,0.356,0.267,0.294,0.275,0.32,0.327,0.377,0.486
1839,0.357,0.333,0.417,0.45,,0.265,0.258,0.41,0.486,0.432,0.35
1840,0.17,0.176,0.189,0.187,0.161,0.216,0.205,0.197,0.222,0.283,0.321
1841,0.311,0.311,0.289,0.333,0.286,0.305,0.316,0.34,0.319,0.385,0.343
1845,0.212,0.214,0.265,0.275,0.182,0.17,0.25,0.25,0.256,0.367,0.412
1848,0.344,0.375,0.364,0.333,0.212,0.395,0.385,0.325,0.439,0.357,0.367
1851,0.243,0.244,0.283,0.282,0.304,0.306,0.276,0.329,0.371,0.326,0.364
1853,0.27,0.366,0.35,0.357,0.385,0.25,0.25,0.286,0.27,0.34,0.356
1856,,,,,,,,,,,
1857,,,,,,,,,,,
1859,0.325,0.286,0.226,0.219,0.179,0.22,0.308,0.282,0.256,0.385,0.436
1860,0.232,0.237,0.242,0.271,0.27,0.238,0.224,0.261,0.243,0.272,0.324
1865,0.283,0.26,0.246,0.268,0.299,0.251,0.284,0.308,0.293,0.287,0.292
1866,0.329,0.282,0.287,0.31,0.298,0.302,0.29,0.367,0.335,0.346,0.373
1867,0.235,0.212,0.217,0.225,0.224,0.25,0.273,0.263,0.215,0.354,0.433
1868,0.182,0.162,0.14,0.157,0.165,0.128,0.167,0.183,0.177,0.21,0.206
1870,0.267,0.231,0.283,0.274,0.354,0.257,0.257,0.287,0.292,0.289,0.29
1871,0.291,0.267,0.262,0.262,0.243,0.261,0.252,0.237,0.231,0.255,0.26
1874,0.211,0.174,0.2,0.12,0.24,0.08,0.107,0.2,0.333,0.174,0.24
1875,0.341,0.302,0.306,0.362,0.241,0.288,0.415,0.487,0.432,0.559,0.564
3001,0.116,0.127,0.158,0.139,0.141,0.145,0.143,0.149,0.159,0.172,0.163
3002,0.242,0.25,0.255,0.27,0.263,0.239,0.281,0.294,0.329,0.326,0.329
3003,0.186,0.193,0.212,0.22,0.251,0.266,0.285,0.305,0.307,0.326,0.363
3004,0.19,0.198,0.184,0.256,0.254,0.264,0.301,0.339,0.35,0.373,0.419
3005,0.459,0.418,0.335,0.352,0.341,0.342,0.306,0.291,0.33,0.382,0.421
3006,0.18,0.182,0.215,0.202,0.237,0.235,0.237,0.241,0.246,0.267,0.296
3007,0.229,0.253,0.244,0.255,0.222,0.232,0.231,0.245,0.254,0.286,0.314
3011,0.284,0.232,0.202,0.217,0.342,0.293,0.321,0.292,0.306,0.36,0.404
3012,0.074,0.069,0.048,,0.043,,,,0.269,0.267,0.256
3013,0.118,0.1,0.137,0.205,0.208,0.173,0.22,0.229,0.2,0.19,0.186
3014,0.179,0.195,0.2,0.189,0.199,0.198,0.212,0.215,0.233,0.245,0.251
3015,0.145,0.095,0.151,0.155,0.155,0.136,0.15,0.158,0.209,0.216,0.218
3016,0.065,0.076,0.117,0.111,0.143,0.119,0.159,0.179,0.164,0.198,0.208
3017,0.196,0.219,0.27,0.264,0.229,0.23,0.267,0.288,0.29,0.348,0.346
3018,0.154,0.143,0.175,0.301,0.171,0.212,0.218,0.243,0.282,0.33,0.345
3019,0.234,0.263,0.31,0.3,0.325,0.333,0.322,0.365,0.342,0.364,0.347
3020,0.306,0.318,0.318,0.334,0.298,0.315,0.348,0.385,0.382,0.43,0.47
3021,0.326,0.327,0.359,0.368,0.378,0.308,0.324,0.297,0.275,0.32,0.326
3022,0.328,0.282,0.313,0.291,0.289,0.281,0.337,0.358,0.341,0.368,0.344
3023,0.37,0.35,0.401,0.386,0.367,0.414,0.399,0.443,0.452,0.468,0.492
3024,0.476,0.411,0.402,0.458,0.366,0.365,0.374,0.378,0.389,0.406,0.416
3025,0.29,0.292,0.305,0.303,0.343,0.337,0.335,0.35,0.364,0.409,0.419
3026,0.201,0.187,0.168,0.168,0.182,0.184,0.228,0.274,0.262,0.287,0.258
