,komnr,2016,2017,2018,2019,2020,2021
0,3823,,,,,,0.0
1,5412,,,,,7.0,32.0
2,3825,32.0,39.0,39.0,30.0,41.0,87.0
3,425,,,,99.0,69.0,108.0
4,4201,,,,,10.0,109.0
5,4602,,,,,295.0,399.0
6,5007,,,,,381.0,419.0
7,4629,0.0,0.0,0.0,0.0,1.0,0.0
8,5044,,,,0.0,0.0,0.0
9,4636,8.0,0.0,4.0,1.0,0.0,0.0
10,4457,0.0,0.0,0.0,0.0,0.0,0.0
11,5437,,,,,4.0,1.0
12,1145,5.0,4.0,13.0,13.0,12.0,10.0
13,3046,,,,,15.0,10.0
14,3052,6.0,13.0,11.0,47.0,18.0,10.0
15,4651,,,,,419.0,108.0
16,4204,,,,,967.0,1098.0
17,3415,0.0,0.0,2.0,13.0,10.0,11.0
18,4616,23.0,38.0,37.0,67.0,41.0,110.0
19,3041,,,,,126.0,111.0
20,3439,,,98.0,192.0,126.0,111.0
21,3412,120.0,114.0,134.0,158.0,117.0,112.0
22,5435,,,,30.0,56.0,113.0
23,4621,,,,,160.0,117.0
24,3022,,,14.0,288.0,288.0,12.0
25,5433,6.0,5.0,15.0,16.0,17.0,12.0
26,5034,,,,,7.0,12.0
27,1528,10.0,57.0,105.0,101.0,109.0,121.0
28,5423,61.0,105.0,96.0,104.0,105.0,125.0
29,3027,138.0,133.0,219.0,163.0,190.0,127.0
30,301,,,,77.0,214.0,129.0
31,1563,,,,,120.0,129.0
32,3801,285.0,183.0,207.0,286.0,186.0,135.0
33,5402,687.0,666.0,877.0,682.0,681.0,1359.0
34,1160,,,,100.0,110.0,136.0
35,1108,,,,,1362.0,1396.0
36,3454,0.0,1.0,9.0,6.0,11.0,14.0
37,216,176.0,168.0,177.0,129.0,146.0,144.0
38,3440,118.0,68.0,69.0,98.0,126.0,144.0
39,4218,2.0,4.0,10.0,19.0,11.0,15.0
40,4634,26.0,16.0,18.0,6.0,25.0,15.0
41,3430,54.0,39.0,39.0,14.0,19.0,15.0
42,3015,,,,,7.0,15.0
43,5035,,,18.0,353.0,739.0,151.0
44,3024,,,,1984.0,1642.0,1527.0
45,3416,158.0,107.0,142.0,135.0,47.0,155.0
46,5028,115.0,82.0,116.0,198.0,154.0,156.0
47,5001,,,,,1978.0,1566.0
48,1578,,,,,,16.0
49,3820,,,,,14.0,16.0
50,4216,,43.0,82.0,167.0,128.0,161.0
51,301,,,,30.0,72.0,161.0
52,3815,104.0,110.0,204.0,141.0,146.0,164.0
53,1106,,,,265.0,263.0,165.0
54,4219,63.0,88.0,105.0,165.0,165.0,166.0
55,3013,,,,,14.0,17.0
56,3422,,,,,8.0,17.0
57,3030,,,,,1024.0,1747.0
58,1870,106.0,123.0,133.0,160.0,231.0,179.0
59,3424,,,,24.0,3.0,18.0
60,301,,,,166.0,196.0,182.0
61,3448,,,,134.0,221.0,184.0
62,1520,,,,,,185.0
63,5006,,,,,165.0,197.0
64,3004,0.0,2093.0,2573.0,2425.0,2250.0,1970.0
65,5059,,,,,,2.0
