komnr,2015,2016,2017,2018,2019,2020,2021
0301,4605.0,4462.0,4325.0,4179.0,4083.0,4015.0,3887.0
1101,58.0,58.0,58.0,62.0,66.0,66.0,66.0
1103,994.0,992.0,1115.0,1032.0,1002.0,998.0,992.0
1106,235.0,236.0,238.0,269.0,266.1,268.2,268.2
1108,417.0,435.0,471.0,471.0,484.0,484.0,476.0
1111,36.0,36.0,36.0,36.0,36.0,36.0,36.0
1112,30.0,28.0,29.0,29.0,29.0,29.0,26.0
1114,29.0,29.0,29.0,29.0,27.8,25.9,26.0
1119,114.0,113.0,114.0,129.0,148.0,149.0,149.0
1120,82.0,79.0,79.0,99.0,83.0,87.0,93.0
1121,103.0,101.0,101.0,103.0,103.0,103.0,103.0
1122,27.0,26.0,25.0,30.0,30.2,30.0,30.0
1124,112.0,111.0,153.0,153.0,153.0,175.1,175.0
1127,21.0,41.0,41.0,41.0,47.0,47.0,51.0
1130,44.0,45.0,45.0,45.0,44.0,46.0,46.0
1133,31.0,31.0,30.0,30.0,30.0,30.0,30.0
1134,38.0,36.0,36.0,37.0,37.0,37.0,37.0
1135,20.0,20.0,12.0,20.0,28.0,25.0,25.0
1144,11.0,11.0,11.0,10.0,9.0,10.0,11.0
1145,11.0,11.0,12.0,14.0,14.1,9.1,8.1
1146,65.0,65.0,65.0,65.0,65.0,68.0,68.0
1149,267.0,267.0,263.0,265.0,265.0,270.0,279.0
1151,8.0,8.0,8.0,8.0,8.3,8.0,8.0
1160,87.0,87.0,82.0,82.0,81.2,81.0,77.0
1505,157.0,168.0,158.0,158.0,172.0,176.0,169.0
1506,306.0,300.0,301.0,312.0,321.0,310.0,314.0
1507,530.0,524.0,508.0,502.0,505.0,493.0,466.0
1511,59.0,59.0,59.0,59.0,59.0,59.0,59.0
1514,32.0,41.0,40.0,41.0,42.0,41.0,41.0
1515,101.0,101.0,91.0,91.0,91.0,91.0,92.0
1516,41.0,41.0,42.0,41.0,41.0,41.0,41.0
1517,49.0,49.0,50.0,50.0,48.0,47.0,47.0
1520,107.0,108.0,108.0,105.0,103.0,101.0,101.0
1525,42.0,42.0,42.0,42.0,41.0,41.0,43.0
1528,30.0,30.0,29.0,28.0,28.0,42.0,41.0
1531,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1532,8.0,8.0,8.0,8.0,8.0,8.0,8.0
1535,73.0,73.0,73.0,71.0,71.0,73.0,92.0
1539,90.0,83.0,83.0,90.0,90.0,82.0,90.0
1547,38.0,38.0,30.0,30.0,32.0,30.0,30.0
1554,60.0,52.0,52.0,50.0,50.0,53.0,52.0
1557,34.0,34.0,34.0,34.0,29.0,26.0,26.0
1560,34.0,35.0,35.0,35.0,32.0,33.0,33.0
1563,97.0,105.0,105.0,89.0,82.0,71.0,73.0
1566,70.0,69.0,66.0,82.0,61.0,61.0,58.0
1573,32.0,36.0,33.0,33.0,32.0,27.0,27.0
1576,37.0,32.0,32.0,22.0,22.0,25.0,22.0
1577,95.0,96.0,96.0,98.0,98.0,100.0,100.0
