komnr,2016,2017,2018,2019,2020,2021
0301,16837.0,17042.0,17171.0,17722.0,17378.0,17673.0
1101,712.0,661.0,662.0,634.0,668.0,699.0
1103,3957.0,4077.0,4011.0,4224.0,3842.0,4784.0
1106,1062.0,1084.0,1066.0,1095.0,1085.0,1155.0
1108,2153.0,2186.0,2215.0,2169.0,2179.0,2439.0
1111,176.0,214.0,180.0,174.0,159.0,176.0
1112,124.0,160.0,174.0,177.0,141.0,159.0
1114,127.0,111.0,129.0,132.0,138.0,117.0
1119,577.0,588.0,577.0,584.0,592.0,584.0
1120,552.0,575.0,574.0,571.0,628.0,710.0
1121,536.0,546.0,569.0,577.0,585.0,650.0
1122,344.0,335.0,364.0,374.0,380.0,369.0
1124,551.0,601.0,673.0,695.0,706.0,783.0
1127,325.0,317.0,321.0,302.0,338.0,350.0
1130,449.0,466.0,447.0,463.0,443.0,452.0
1133,116.0,125.0,130.0,118.0,95.0,101.0
1134,184.0,184.0,177.0,168.0,187.0,179.0
1135,224.0,274.0,254.0,239.0,223.0,223.0
1144,30.0,33.0,10.0,26.0,15.0,16.0
1145,38.0,32.0,35.0,16.0,15.0,15.0
1146,305.0,321.0,317.0,334.0,315.0,301.0
1149,1333.0,1362.0,1389.0,1378.0,1428.0,1508.0
1151,0.0,0.0,0.0,0.0,0.0,0.0
1160,181.0,354.0,354.0,347.0,321.0,318.0
1505,1038.0,1143.0,1159.0,1084.0,1095.0,1178.0
1506,1155.0,1316.0,1179.0,1312.0,1386.0,1394.0
1507,2389.0,2532.0,2593.0,2680.0,2913.0,2916.0
1511,224.0,230.0,221.0,209.0,224.0,203.0
1514,129.0,123.0,117.0,108.0,110.0,121.0
1515,379.0,392.0,396.0,448.0,475.0,485.0
1516,374.0,371.0,374.0,403.0,425.0,450.0
1517,271.0,297.0,303.0,262.0,309.0,305.0
1520,522.0,508.0,520.0,540.0,546.0,558.0
1525,225.0,223.0,219.0,204.0,193.0,192.0
1528,438.0,447.0,405.0,465.0,504.0,512.0
1531,432.0,452.0,433.0,477.0,500.0,532.0
1532,258.0,344.0,347.0,328.0,249.0,251.0
1535,328.0,348.0,375.0,345.0,395.0,387.0
1539,444.0,468.0,462.0,414.0,400.0,345.0
1547,142.0,143.0,153.0,161.0,178.0,184.0
1554,317.0,324.0,334.0,314.0,358.0,324.0
1557,129.0,131.0,131.0,91.0,108.0,99.0
1560,243.0,235.0,214.0,228.0,208.0,190.0
1563,398.0,408.0,415.0,387.0,418.0,429.0
1566,246.0,288.0,296.0,280.0,262.0,287.0
1573,140.0,142.0,115.0,138.0,216.0,255.0
1576,317.0,335.0,327.0,300.0,291.0,302.0
1577,490.0,509.0,484.0,463.0,470.0,496.0
1578,116.0,140.0,55.0,103.0,147.0,150.0
1579,623.0,663.0,649.0,638.0,657.0,687.0
1804,2010.0,1995.0,2020.0,1723.0,1762.0,1838.0
1806,0.0,0.0,0.0,0.0,1326.0,1259.0
1811,85.0,86.0,104.0,90.0,89.0,87.0
1812,124.0,114.0,116.0,111.0,112.0,119.0
1813,495.0,490.0,508.0,549.0,570.0,600.0
1815,107.0,84.0,76.0,102.0,106.0,102.0
1816,10.0,12.0,13.0,9.0,11.0,28.0
1818,89.0,113.0,126.0,136.0,135.0,68.0
1820,346.0,358.0,375.0,359.0,350.0,292.0
1822,151.0,148.0,153.0,161.0,148.0,86.0
1824,707.0,703.0,688.0,704.0,720.0,723.0
1825,101.0,109.0,115.0,90.0,85.0,94.0
1826,100.0,101.0,94.0,72.0,68.0,69.0
1827,103.0,74.0,73.0,85.0,101.0,54.0
1828,86.0,88.0,73.0,73.0,63.0,70.0
1832,239.0,262.0,276.0,254.0,308.0,277.0
1833,1051.0,971.0,996.0,1026.0,1043.0,1110.0
1834,100.0,100.0,93.0,119.0,107.0,115.0
1835,9.0,9.0,22.0,25.0,23.0,13.0
1836,75.0,78.0,69.0,75.0,82.0,92.0
1837,379.0,436.0,481.0,483.0,497.0,503.0
1838,151.0,155.0,154.0,167.0,165.0,178.0
1839,87.0,93.0,90.0,95.0,74.0,77.0
1840,267.0,261.0,300.0,293.0,277.0,305.0
1841,453.0,465.0,451.0,458.0,444.0,421.0
1845,77.0,71.0,68.0,64.0,73.0,78.0
1848,160.0,151.0,143.0,147.0,181.0,133.0
1851,101.0,102.0,93.0,87.0,117.0,93.0
1853,82.0,95.0,94.0,98.0,89.0,77.0
1856,16.0,46.0,45.0,36.0,38.0,35.0
1857,37.0,35.0,31.0,21.0,34.0,35.0
1859,72.0,64.0,77.0,69.0,71.0,57.0
1860,551.0,544.0,647.0,601.0,560.0,596.0
1865,359.0,354.0,370.0,399.0,431.0,481.0
1866,361.0,381.0,387.0,402.0,383.0,416.0
1867,176.0,181.0,158.0,152.0,145.0,153.0
1868,259.0,282.0,283.0,287.0,274.0,272.0
1870,714.0,708.0,713.0,616.0,554.0,585.0
1871,334.0,360.0,350.0,386.0,391.0,363.0
1874,54.0,69.0,68.0,69.0,65.0,67.0
1875,0.0,0.0,0.0,0.0,239.0,270.0
3001,1303.0,1295.0,1277.0,1136.0,1159.0,1149.0
3002,2193.0,2325.0,2409.0,2454.0,2508.0,2653.0
3003,2222.0,2238.0,2248.0,2352.0,2384.0,2514.0
3004,3307.0,3413.0,3303.0,3028.0,2979.0,3058.0
3005,4360.0,4370.0,4279.0,4098.0,4041.0,4065.0
3006,1150.0,1124.0,1072.0,927.0,918.0,926.0
3007,1439.0,1499.0,1513.0,1369.0,1408.0,1451.0
3011,223.0,263.0,241.0,252.0,241.0,211.0
3012,64.0,60.0,60.0,61.0,66.0,63.0
3013,203.0,188.0,199.0,210.0,200.0,215.0
3014,1973.0,2073.0,2160.0,2150.0,2378.0,2273.0
3015,153.0,163.0,179.0,203.0,185.0,213.0
3016,526.0,510.0,496.0,534.0,584.0,605.0
3017,297.0,305.0,319.0,347.0,345.0,356.0
3018,258.0,249.0,285.0,229.0,253.0,256.0
