komnr,2015,2016,2017,2018,2019,2020,2021
3001,3.09,3.28,3.4,3.4,3.6,3.4,3.5
3002,6.609999999999999,6.7,7.3,7.2,5.9,5.1,6.8
3003,3.14,2.84,3.0,2.9,3.1,3.5,3.6
3004,3.67,3.37,3.4,3.4,3.7,4.6,4.5
3005,11.03,11.89,12.7,11.8,8.2,5.5,4.9
3006,7.14,7.77,7.9,8.9,12.1,10.9,12.5
3007,6.91,6.89,6.8,7.3,6.8,7.2,7.9
3011,3.12,3.64,3.6,4.3,5.0,7.8,7.7
3012,8.24,9.1,6.7,6.9,8.7,7.2,5.1
3013,2.09,1.69,2.9,1.6,3.4,3.2,2.3
3014,21.45,21.6,20.9,21.0,21.0,6.8,6.6
3015,4.2,4.51,5.4,4.7,5.1,5.8,5.7
3016,3.67,3.99,3.7,3.7,3.4,3.4,3.4
3017,4.89,5.77,4.9,4.8,5.0,6.4,6.0
3018,2.27,2.62,3.0,3.1,3.2,2.7,2.5
3019,3.33,2.89,2.8,2.3,2.5,2.1,2.4
3020,6.85,6.66,7.0,6.2,7.6,3.6,4.2
3021,2.35,2.34,2.3,2.2,2.3,2.1,1.8
3022,1.8,2.3,2.1,2.0,2.2,2.2,2.2
3023,2.93,3.19,2.8,2.6,2.2,2.3,2.4
3024,5.29,5.18,6.4,7.1,7.1,7.9,7.6
3025,17.64,18.23,19.4,19.8,22.1,9.8,8.9
3026,3.0100000000000002,3.5999999999999996,5.1,4.5,3.9,3.1,3.1
3027,2.62,3.0,2.6,2.8,3.4,3.1,3.5
3028,2.19,2.18,2.4,2.7,2.5,2.7,1.8
3029,2.18,3.43,2.3,3.2,3.9,3.8,3.7
3030,14.600000000000001,15.26,14.9,15.899999999999999,15.1,5.5,5.3
3031,4.28,4.32,5.3,5.1,5.1,4.4,4.8
3032,3.63,3.46,2.9,2.7,2.2,2.6,2.2
3033,2.26,2.54,3.0,3.4,3.9,3.9,2.6
3034,3.68,4.15,4.4,3.6,3.5,3.9,3.3
3035,3.31,3.62,3.6,3.8,4.3,3.9,3.2
3036,1.99,2.05,2.4,2.5,2.3,2.1,2.4
3037,6.24,6.04,6.3,3.6,5.0,4.7,4.4
3038,6.55,6.04,7.9,5.4,8.3,7.8,2.6
3039,2.2,3.4,2.3,2.1,2.1,2.6,2.5
3040,11.82,13.19,10.6,9.4,7.3,6.3,5.4
3041,3.95,4.07,5.5,4.0,3.3,4.3,3.1
3042,3.86,3.91,3.4,3.4,4.2,4.1,3.0
3043,3.87,5.28,7.0,4.8,4.4,4.6,5.5
3044,4.59,4.41,5.5,7.3,5.4,5.3,4.7
3045,2.2,2.04,1.8,1.9,2.3,3.0,2.7
3046,1.77,2.09,2.0,2.4,2.4,1.8,2.0
3047,1.99,2.73,2.9,3.9,5.6,6.5,6.4
3048,5.2,3.71,4.9,4.9,5.1,5.7,5.8
3049,4.68,4.32,4.3,4.2,4.2,4.5,4.0
3050,2.4,4.14,2.2,2.2,1.7,1.8,1.5
3051,3.19,3.14,3.8,3.5,2.7,2.7,3.2
3052,11.29,10.75,9.6,7.4,6.0,4.1,6.0
3053,2.47,2.76,2.5,2.6,2.8,3.6,3.9
3054,3.94,3.31,3.4,3.6,4.2,5.6,7.8
0301,3.08,3.19,3.3,3.4,3.4,3.5,3.5
3401,3.29,3.35,3.3,3.9,3.9,4.1,3.8
3403,3.88,4.16,4.2,4.3,4.2,4.3,4.0
3405,3.37,2.91,3.0,3.3,3.1,3.9,3.7
3407,4.92,5.23,6.3,6.3,6.1,7.1,6.6
3411,2.32,2.32,2.7,2.8,3.2,2.7,2.4
3412,2.14,2.95,2.4,2.3,2.7,3.0,3.4
3413,3.92,3.93,4.2,5.7,5.6,5.2,4.7
3414,4.95,4.08,4.9,3.6,5.7,5.6,5.4
3415,3.44,3.08,3.0,2.8,3.9,3.8,3.2
3416,3.16,2.72,2.5,4.1,3.5,3.8,4.4
3417,4.23,3.53,3.4,3.5,3.3,3.3,2.8
3418,3.73,3.37,3.7,3.5,3.3,3.3,4.5
3419,2.79,2.76,3.1,2.9,3.4,3.2,3.2
3420,3.71,4.29,5.7,4.9,5.5,5.3,4.7
3421,8.03,7.5,8.1,7.7,8.3,8.1,8.0
3422,6.95,6.75,6.5,7.4,7.5,7.5,6.8
3423,3.24,2.35,2.3,3.1,3.3,3.0,4.1
3424,2.5,2.77,2.8,4.1,3.7,4.5,4.4
3425,2.28,1.64,2.2,2.0,2.1,2.3,3.1
3426,2.63,3.4,2.9,3.6,4.6,3.9,3.1
3427,3.8,4.08,3.6,3.9,7.2,8.3,7.8
3428,1.56,1.49,1.8,2.1,2.7,2.0,2.8
3429,2.83,2.89,2.5,2.4,2.3,3.0,4.6
3430,4.82,4.58,4.6,3.8,4.5,5.8,4.6
3431,3.06,3.64,3.6,3.5,2.1,2.3,2.4
3432,2.73,4.55,4.2,3.6,3.8,4.9,4.2
3433,4.1,3.04,3.3,4.0,4.5,4.1,4.6
3434,1.85,1.62,1.9,2.0,1.9,2.0,2.2
3435,2.65,3.65,2.9,5.4,5.1,4.9,4.5
3436,2.15,2.12,2.3,2.2,2.2,3.1,3.4
3437,3.54,4.03,3.9,3.7,5.9,6.1,5.4
3438,3.22,2.99,2.4,3.2,2.4,1.8,2.0
3439,4.12,4.74,3.7,3.5,3.3,3.1,3.5
3440,2.17,2.27,2.3,2.1,2.4,2.0,2.0
3441,2.72,3.39,3.0,3.2,3.4,4.0,4.2
3442,5.06,4.68,3.9,3.6,4.0,4.1,3.9
3443,5.95,6.21,6.0,5.9,5.4,5.1,4.2
3446,6.93,7.25,7.4,8.0,10.4,11.8,11.9
3447,1.9,2.55,1.8,1.7,1.7,2.3,3.3
3448,1.73,2.23,2.9,3.1,3.4,3.3,3.0
3449,2.82,2.31,3.0,3.2,3.4,4.2,3.6
3450,8.93,8.48,6.2,3.5,5.0,5.0,4.9
3451,5.25,5.02,5.9,6.8,5.9,5.9,5.6
3452,3.09,2.28,2.3,2.3,2.7,2.3,2.4
3453,8.25,7.64,4.2,3.6,4.8,3.5,3.0
3454,10.26,6.1,5.2,3.7,3.7,3.5,3.8
3801,4.1,3.84,3.7,3.6,3.2,3.2,3.5
3802,13.61,12.25,11.0,10.4,11.6,12.3,10.6
3803,10.25,11.0,11.7,11.9,14.8,5.2,5.6
3804,16.82,14.92,4.0,3.8,3.7,3.9,3.8
3805,5.73,6.4,6.199999999999999,3.7,3.5,3.8,3.6
3806,3.43,3.55,3.5,3.2,3.5,3.4,3.2
3807,3.89,3.75,3.7,4.0,4.0,4.3,4.1
3808,2.86,3.19,3.4,3.7,3.7,3.5,3.8
3811,5.880000000000001,6.95,7.8,3.6,3.5,3.4,3.9
3812,2.2,2.41,3.6,2.7,3.9,3.7,3.2
3813,8.63,8.38,8.8,9.0,8.6,8.6,7.1
3814,5.72,6.34,7.8,7.9,7.4,7.7,9.6
3815,2.52,2.12,2.3,2.3,3.1,3.9,3.6
3816,3.36,4.14,4.0,3.9,4.9,3.8,3.8
3817,9.55,10.17,9.2,8.6,6.8999999999999995,4.2,3.7
3818,3.47,9.14,9.7,9.6,8.7,6.1,5.2
3819,2.05,2.33,3.8,3.9,2.0,2.6,2.8
3820,2.75,3.36,2.4,2.4,2.3,2.4,2.6
3821,4.41,4.7,4.7,4.1,3.7,2.7,3.8
3822,7.03,6.38,5.0,4.7,4.8,4.9,5.1
3823,6.96,7.24,7.8,5.3,4.6,2.8,2.6
3824,4.84,4.53,4.0,2.9,2.6,2.2,2.4
3825,5.56,4.6,4.8,4.9,5.3,8.1,7.2
4201,5.07,4.88,5.1,5.5,5.4,4.8,4.4
4202,6.75,7.72,8.6,8.3,7.7,8.4,9.1
4203,3.96,4.37,5.3,4.8,4.8,5.1,4.9
4204,11.4,15.870000000000001,11.0,10.5,11.6,3.4,3.9
4205,18.1,17.17,16.6,16.6,17.0,7.9,8.5
4206,4.63,2.26,1.4,1.3,1.6,1.5,1.4
4207,3.39,3.5,3.5,2.7,5.4,5.9,4.8
4211,2.72,2.62,3.0,5.0,4.1,6.5,6.0
4212,3.62,4.93,2.8,3.7,2.8,3.5,2.3
4213,3.2,3.77,5.3,5.2,6.6,6.0,6.5
4214,4.19,3.88,2.7,2.6,2.8,2.7,4.9
4215,2.99,5.96,5.7,6.9,7.6,8.9,7.7
4216,3.6,2.99,3.0,3.0,2.5,5.1,4.8
4217,3.86,2.99,4.1,3.4,2.9,3.6,4.2
4218,1.47,1.09,18.2,16.3,10.1,3.9,4.8
4219,5.61,3.33,2.7,3.4,3.6,2.4,1.9
4220,10.46,3.57,3.5,6.0,5.7,13.3,11.1
4221,3.46,2.52,3.3,2.5,2.5,2.4,3.3
4222,4.94,2.77,2.2,1.3,1.4,3.1,3.8
4223,3.35,3.36,2.9,3.1,2.7,2.5,2.6
4224,2.15,1.92,2.1,2.1,2.2,2.5,5.4
4225,8.36,7.5,6.6,5.8,5.6,7.3,7.3
4226,2.37,1.6,1.4,1.4,2.4,2.8,3.1
4227,8.08,7.42,6.9,5.1,6.3,6.5,5.9
4228,2.27,1.55,2.1,5.9,6.8,5.8,3.7
1101,8.62,9.8,10.3,9.6,8.9,10.1,8.8
1108,12.26,10.62,10.2,8.6,9.1,2.9,2.6
1103,14.3,14.89,13.4,13.899999999999999,14.0,4.5,4.4
1106,6.68,7.45,8.2,8.5,9.4,10.0,9.4
1111,4.08,4.26,3.3,3.9,3.1,4.1,3.9
1112,2.95,3.87,6.0,4.1,4.5,4.5,4.6
1114,2.35,2.23,2.6,2.8,2.0,2.0,4.0
1119,7.22,7.39,7.3,8.0,7.8,7.8,7.4
1120,6.29,16.89,12.7,11.1,9.7,5.1,3.9
1121,6.13,8.55,9.9,10.9,9.5,9.6,8.7
1122,8.06,8.82,9.5,8.3,9.2,8.5,8.9
1124,4.2,4.61,4.4,4.2,4.8,5.1,5.1
1127,7.61,5.51,5.6,5.8,6.5,7.2,5.3
1130,12.58,11.92,9.8,10.0,8.2,9.6,10.4
1133,2.05,1.94,1.8,2.2,2.6,2.7,3.0
1134,3.86,4.3,4.9,4.9,4.1,4.8,4.2
1135,14.48,29.78,12.4,9.9,9.7,7.5,5.5
1144,1.95,1.88,1.9,1.2,1.5,1.0,1.0
1145,1.86,2.16,2.0,2.1,2.3,3.0,2.5
1146,4.16,3.63,4.2,5.1,5.0,4.8,5.4
1149,5.52,6.39,6.4,6.5,5.4,4.7,3.7
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
