komnr,2015,2016,2017,2018,2019,2020,2021
3001,4.17,4.56,4.7,4.5,4.4,4.5,4.8
3002,10.39,11.57,14.6,17.700000000000003,16.4,11.2,11.1
3003,4.65,4.12,4.8,4.6,4.8,5.3,5.0
3004,4.18,4.18,4.2,4.1,4.0,4.7,4.6
3005,14.280000000000001,13.43,14.5,12.8,8.7,5.0,4.6
3006,7.27,8.23,8.1,9.1,9.5,9.5,9.5
3007,4.9,4.78,4.8,5.0,5.1,4.8,5.3
3011,4.37,5.32,5.2,6.3,3.8,3.4,3.6
3012,1.7,1.9,2.0,2.0,2.3,3.1,2.6
3013,3.05,2.6,3.2,3.3,3.1,3.0,2.3
3014,19.56,16.92,19.1,16.9,16.9,5.4,4.4
3015,4.01,4.35,2.9,2.8,2.3,2.3,2.1
3016,6.07,6.67,6.4,6.7,5.6,5.9,6.4
3017,2.95,2.6,3.2,3.5,3.6,5.3,5.7
3018,3.07,3.87,3.9,4.1,4.7,3.5,2.8
3019,3.58,2.96,2.5,2.7,2.7,2.5,2.7
3020,7.33,6.65,7.0,6.1,6.0,2.3,3.8
3021,3.1,3.13,3.0,2.9,3.0,3.0,2.8
3022,3.66,3.29,2.9,3.5,3.9,4.2,3.6
3023,3.52,3.43,3.1,3.0,2.6,2.6,3.7
3024,6.03,6.03,5.4,5.7,6.1,6.3,5.9
3025,18.04,17.62,18.0,18.9,19.5,6.1,5.6
3026,3.91,4.17,5.7,5.5,5.1,4.0,3.9
3027,2.7,3.09,3.2,3.2,4.0,5.0,5.3
3028,4.98,5.72,5.8,4.0,4.9,5.3,5.5
3029,2.78,3.31,3.3,3.7,3.4,3.5,4.0
3030,14.23,14.829999999999998,13.5,15.5,14.8,5.4,5.8
3031,4.45,3.9,3.9,4.4,4.3,4.3,4.4
3032,7.54,7.47,6.2,4.2,3.6,5.0,4.3
3033,2.54,2.16,2.8,3.5,3.1,3.2,3.1
3034,4.73,4.72,5.1,4.5,3.9,4.6,4.6
3035,3.6,4.08,4.6,4.3,3.8,4.2,4.5
3036,3.4,3.28,3.2,3.4,3.0,2.7,8.0
3037,5.03,4.7,4.9,3.8,4.6,4.4,3.7
3038,4.49,4.5,5.0,5.5,4.3,4.6,5.8
3039,3.17,3.47,3.2,2.9,3.1,3.4,3.1
3040,13.78,16.24,15.2,12.6,15.2,16.9,7.2
3041,5.06,5.59,5.4,4.2,3.3,3.4,3.1
3042,2.79,2.84,3.4,3.4,3.8,4.0,3.4
3043,3.24,2.4,2.5,1.7,2.1,2.5,2.4
3044,5.11,5.44,5.9,6.1,5.1,5.3,5.3
3045,3.24,3.67,3.4,3.6,4.1,3.6,3.8
3046,1.98,2.68,2.5,3.3,3.1,2.2,2.6
3047,4.47,5.38,4.9,4.9,4.2,4.2,3.9
3048,5.65,4.27,4.5,4.8,4.4,5.2,5.6
3049,7.24,7.42,7.6,7.5,6.9,6.8,5.9
3050,3.12,4.29,4.0,4.2,3.0,2.6,3.0
3051,3.95,3.7,4.2,4.4,3.8,3.4,4.0
3052,6.46,5.61,4.6,5.7,4.6,4.9,4.1
3053,3.02,3.42,3.3,3.2,3.8,4.2,4.6
3054,3.54,3.43,3.7,4.2,4.8,5.0,5.6
0301,3.44,3.6,3.7,3.9,3.8,4.0,4.0
3401,4.18,4.34,4.1,4.4,4.3,4.4,4.6
3403,5.27,5.51,5.6,5.5,5.5,5.6,5.8
3405,4.06,3.68,3.7,4.1,3.8,5.0,4.4
3407,6.17,6.53,8.1,8.5,7.8,9.0,7.8
3411,4.11,3.81,4.5,4.5,4.5,3.6,3.0
3412,2.19,2.88,3.0,2.9,2.5,2.7,2.8
3413,3.53,3.81,3.2,3.7,3.8,4.3,5.1
3414,6.03,6.6,7.1,4.7,6.0,6.6,6.7
3415,3.6,2.94,3.2,3.2,3.7,4.0,3.5
3416,4.16,3.9,3.5,3.7,4.5,3.9,5.0
3417,7.35,6.46,6.6,6.0,5.9,5.4,5.0
3418,4.28,4.83,4.7,4.3,3.5,3.9,3.5
3419,3.54,2.82,3.1,2.8,2.7,4.3,5.1
3420,5.06,5.49,6.1,4.7,5.4,4.9,5.0
3421,7.34,6.91,8.7,7.9,8.0,7.9,8.0
3422,4.72,4.93,5.0,5.7,5.6,5.6,5.0
3423,3.06,2.37,2.5,2.4,2.3,2.2,4.5
3424,2.23,3.87,3.6,4.8,4.6,6.0,4.6
3425,5.94,1.75,2.5,2.3,2.4,3.0,3.7
3426,3.13,3.8,3.4,4.2,5.0,4.4,4.0
3427,4.7,4.91,4.3,4.9,5.6,5.8,6.5
3428,2.48,2.57,3.0,4.0,4.4,2.9,3.5
3429,3.61,3.32,3.0,2.8,2.0,3.0,3.4
3430,4.18,3.7,4.0,2.9,3.5,3.1,2.4
3431,3.19,2.55,3.5,3.1,2.7,2.9,2.9
3432,4.41,3.62,3.7,5.1,4.0,3.8,3.4
3433,3.75,2.98,3.1,3.1,3.8,3.5,4.1
3434,3.26,3.46,3.6,5.8,4.3,4.5,4.1
3435,3.58,4.95,3.6,4.0,3.9,4.6,4.4
3436,2.56,2.42,2.5,2.5,2.4,3.6,2.6
3437,4.54,5.18,4.6,3.9,3.4,4.1,5.1
3438,4.17,3.77,3.3,4.3,3.0,2.1,2.3
3439,7.37,8.19,7.1,5.9,5.9,5.7,5.7
3440,2.73,2.77,3.0,2.2,2.5,2.4,2.4
3441,3.53,3.38,3.4,2.5,3.9,3.8,4.1
3442,7.14,6.86,5.9,5.5,4.7,4.9,4.9
3443,7.47,7.9,7.7,9.5,8.2,8.3,6.9
3446,4.13,3.88,3.6,4.0,4.1,4.2,5.2
3447,3.71,5.28,5.0,5.0,5.5,5.0,6.7
3448,2.53,2.1,2.2,2.1,2.7,2.4,2.1
3449,3.73,3.85,4.7,5.0,5.3,4.7,5.1
3450,5.44,4.04,4.1,4.3,4.0,4.6,5.4
3451,6.23,6.44,5.6,4.9,4.3,4.5,4.2
3452,2.51,1.99,2.9,2.0,3.0,2.6,2.8
3453,5.4,6.11,5.7,4.1,6.1,4.9,3.4
3454,4.22,4.74,3.4,2.4,2.3,2.8,3.0
3801,5.18,4.91,5.2,4.7,4.7,4.6,5.0
3802,14.65,13.059999999999999,14.9,9.5,10.4,9.8,7.4
3803,11.03,10.49,12.6,11.3,13.0,5.4,5.4
3804,13.98,12.6,4.6,4.3,4.6,5.0,5.1
3805,6.629999999999999,7.29,7.1,4.3,4.1,4.2,3.7
3806,4.02,3.98,4.0,3.9,4.5,4.7,4.4
3807,7.74,8.61,8.1,7.9,7.9,9.7,9.3
3808,7.24,7.69,7.5,7.6,7.9,8.1,8.2
3811,5.81,6.6,6.3,4.2,3.9,3.9,4.2
3812,2.38,1.93,2.0,1.9,2.3,2.4,2.0
3813,7.68,7.26,6.4,7.1,8.5,7.6,7.8
3814,6.56,5.37,6.3,7.4,7.0,7.1,7.7
3815,3.48,3.02,3.0,3.0,4.0,3.9,4.2
3816,4.79,5.64,5.5,5.0,5.2,4.8,5.9
3817,10.57,8.39,7.8999999999999995,9.100000000000001,6.0,3.4,3.5
3818,3.76,4.33,4.5,5.6,5.6,5.2,5.9
3819,3.18,2.78,2.5,2.1,2.9,3.0,3.1
3820,2.72,3.55,6.3,5.6,7.0,6.1,5.7
3821,3.47,3.32,3.6,3.3,2.7,3.4,3.5
3822,4.2,3.56,3.1,4.8,5.5,5.4,6.3
3823,6.02,5.58,5.5,3.6,3.0,2.4,2.2
3824,7.83,6.91,6.3,5.0,4.2,3.6,4.4
3825,7.92,8.74,6.8,6.0,6.8,6.7,6.2
4201,3.88,4.41,5.2,5.6,4.2,3.7,4.3
4202,6.89,6.94,7.5,7.1,6.8,6.2,6.4
4203,3.7,3.88,4.9,4.3,4.3,4.7,4.7
4204,11.959999999999999,12.95,12.0,11.5,12.8,4.3,4.8
4205,20.75,16.5,16.4,20.9,12.1,7.1,7.6
4206,5.15,4.36,5.3,6.6,7.6,7.8,7.4
4207,4.59,4.61,4.8,5.3,4.0,5.9,5.4
4211,3.13,3.71,3.8,4.6,3.2,3.7,4.8
4212,2.98,2.35,2.7,5.4,4.5,4.8,2.5
4213,3.74,4.38,5.1,5.9,6.2,5.4,5.7
4214,3.46,3.36,3.1,2.7,3.3,3.3,4.4
4215,3.34,3.74,4.2,3.8,4.4,5.0,5.5
4216,3.4,4.19,4.2,5.4,5.3,7.7,6.5
4217,5.37,3.95,1.6,2.1,1.7,2.0,1.9
4218,2.33,2.39,34.9,36.8,23.2,7.8,8.3
4219,4.53,3.71,2.7,3.0,3.8,3.2,2.7
4220,9.27,5.05,2.8,4.9,4.8,12.3,10.1
4221,9.29,5.18,5.5,4.3,4.8,4.4,5.4
4222,2.69,2.68,2.1,1.4,1.3,1.4,2.4
4223,3.74,4.2,3.7,3.6,4.3,3.6,3.4
4224,3.01,3.12,3.4,3.4,3.0,3.6,7.7
4225,9.8,9.66,9.7,10.1,11.2,6.3,6.3
4226,2.5,1.55,1.8,2.2,3.8,3.9,4.4
4227,8.5,7.45,7.1,5.9,6.7,6.4,6.4
4228,2.6,1.71,2.4,2.4,2.7,2.6,1.8
1101,9.51,12.39,11.9,10.4,8.7,9.0,9.0
1108,7.67,8.09,8.6,8.7,11.9,4.1,4.4
1103,15.870000000000001,12.67,12.7,15.2,15.3,4.5,3.9
1106,5.64,5.34,5.9,6.1,7.1,6.9,6.9
1111,4.95,5.0,3.6,4.8,4.1,5.1,5.1
1112,2.92,4.13,6.3,4.0,3.7,3.7,3.6
1114,2.55,2.07,2.4,3.1,2.4,2.4,4.3
1119,3.74,3.54,3.4,3.4,3.4,3.7,3.7
1120,4.62,3.74,3.9,3.8,4.5,5.1,4.8
1121,4.42,5.26,4.1,3.8,3.8,4.7,3.8
