,komnr,variable,2015,2016,2017,2018,2019,2020,2021
0,0301,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",616.0,643.0,640.0,660.0,696.0,740.0,781.0
1,0301,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",1512.0,1571.0,1619.0,1665.0,1759.0,1745.0,1792.0
2,0301,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",353.0,378.0,411.0,463.0,472.0,539.0,559.0
3,0301,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",2481.0,2592.0,2670.0,2788.0,2927.0,3024.0,3132.0
4,0301,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",2765.0,2815.0,2861.0,2814.0,2895.0,2776.0,2815.0
5,0301,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",3700.0,3549.0,3526.0,3541.0,3679.0,3733.0,3708.0
6,0301,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",2346.0,2283.0,2274.0,2286.0,2325.0,2134.0,2038.0
7,0301,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",4417.0,4124.0,3916.0,3762.0,3869.0,3554.0,3508.0
8,0301,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",969.0,1021.0,1051.0,1123.0,1168.0,1279.0,1340.0
9,1101,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",60.0,55.0,68.0,63.0,76.0,70.0,69.0
10,1101,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",82.0,61.0,64.0,62.0,67.0,64.0,58.0
11,1101,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",25.0,28.0,27.0,27.0,33.0,25.0,23.0
12,1101,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",167.0,144.0,159.0,152.0,176.0,159.0,150.0
13,1101,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",97.0,113.0,112.0,112.0,90.0,86.0,89.0
14,1101,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",166.0,168.0,178.0,156.0,163.0,156.0,162.0
15,1101,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",132.0,137.0,101.0,125.0,114.0,165.0,188.0
16,1101,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",163.0,137.0,101.0,104.0,85.0,92.0,95.0
17,1101,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",85.0,83.0,95.0,90.0,109.0,95.0,92.0
18,1103,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",59.0,58.0,64.0,76.0,78.0,71.0,67.0
19,1103,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",282.0,286.0,272.0,285.0,299.0,316.0,363.0
20,1103,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",60.0,58.0,55.0,63.0,67.0,62.0,78.0
21,1103,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",432.0,433.0,430.0,466.0,481.0,449.0,508.0
22,1103,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",670.0,686.0,766.0,775.0,731.0,716.0,751.0
23,1103,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",932.0,967.0,989.0,934.0,978.0,944.0,1040.0
24,1103,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",886.0,895.0,945.0,897.0,937.0,929.0,945.0
25,1103,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",852.0,802.0,853.0,794.0,755.0,769.0,818.0
26,1103,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",119.0,116.0,119.0,139.0,145.0,133.0,145.0
27,1106,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",44.0,31.0,33.0,32.0,43.0,28.0,37.0
28,1106,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",128.0,137.0,142.0,141.0,130.0,111.0,136.0
29,1106,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  67-79 år (antall)",37.0,40.0,36.0,38.0,39.0,38.0,41.0
30,1106,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  i alt (antall)",209.0,208.0,211.0,211.0,212.0,177.0,214.0
31,1106,"Hjemmetjenestebrukere, middels bistandsbehov, 0-66 år (antall)",177.0,187.0,191.0,184.0,207.0,201.0,250.0
32,1106,"Hjemmetjenestebrukere, middels bistandsbehov, 67 år og over (antall)",329.0,316.0,337.0,334.0,319.0,288.0,309.0
33,1106,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 0-66 år (antall)",121.0,114.0,122.0,125.0,118.0,110.0,149.0
34,1106,"Hjemmetjenestebrukere, noe/avgrenset bistandsbehov, 67 år og over (antall)",225.0,208.0,186.0,179.0,180.0,180.0,196.0
35,1106,"Hjemmetjenestebrukere, omfattende bistandsbehov, 67 år og over (antall)",81.0,71.0,69.0,70.0,82.0,66.0,78.0
36,1108,"Hjemmetjenestebrukere,  omfattende bistandsbehov  80 år og over (antall)",56.0,49.0,41.0,38.0,39.0,35.0,36.0
37,1108,"Hjemmetjenestebrukere,  omfattende bistandsbehov,  0-66 år (antall)",242.0,250.0,263.0,269.0,258.0,251.0,302.0
